sim_id,sim_name,grid,f,beta,M,theta,seed,classification,lambda_W,lambda_W_err,t_frag,t_radial,N_peaks,peak_significance,sigma_lw,contrast,radial_collapsed,radial_width_frac,f_transition,phase,t_J,priority
SC_0012,supercritical_f1.5_beta0.3_M3.0_theta90_seed2,main,1.5,0.3,3.0,90.0,2,MEASURABLE,0.55521,0.077618,131.84437,4.57726,13,5.169,0.1398,100.734767,False,0.9284,2.3067,1,,
SC_0013,supercritical_f1.5_beta1.0_M1.0_theta0_seed1,main,1.5,1.0,1.0,0.0,1,PARTIAL,3.165387,0.949616,21.930821,2.471721,2,5.041,0.0863,32.481872,False,0.7545,1.5,1,,
SC_0014,supercritical_f1.5_beta1.0_M1.0_theta0_seed2,main,1.5,1.0,1.0,0.0,2,PARTIAL,2.857083,0.857125,22.790652,2.471721,2,4.989,0.0825,35.238506,False,0.7545,1.5,1,,
SC_0015,supercritical_f1.5_beta1.0_M1.0_theta45_seed1,main,1.5,1.0,1.0,45.0,1,MEASURABLE,1.449954,0.112516,26.230911,2.403062,4,5.016,0.0776,95.460384,False,0.7402,1.575,1,,
SC_0016,supercritical_f1.5_beta1.0_M1.0_theta45_seed2,main,1.5,1.0,1.0,45.0,2,PARTIAL,1.396183,0.418855,26.129447,2.403062,6,4.122,0.0819,35.85371,False,0.7402,1.575,1,,
SC_0017,supercritical_f1.5_beta1.0_M1.0_theta90_seed1,main,1.5,1.0,1.0,90.0,1,MEASURABLE,1.121504,0.07301,31.863781,2.334403,8,5.025,0.0651,95.934171,False,0.7247,1.65,1,,
SC_0018,supercritical_f1.5_beta1.0_M1.0_theta90_seed2,main,1.5,1.0,1.0,90.0,2,MEASURABLE,1.029517,0.085038,33.381098,2.334403,8,4.658,0.0826,96.630546,False,0.7247,1.65,1,,
SC_0019,supercritical_f1.5_beta1.0_M3.0_theta0_seed1,main,1.5,1.0,3.0,0.0,1,PARTIAL,3.444385,1.033315,13.170944,2.471721,1,4.95,0.1679,39.865573,False,0.7545,1.34,1,,
SC_0020,supercritical_f1.5_beta1.0_M3.0_theta0_seed2,main,1.5,1.0,3.0,0.0,2,PARTIAL,2.845661,0.853698,12.372812,2.471721,3,3.853,0.1592,37.973161,False,0.7545,1.34,1,,
SC_0021,supercritical_f1.5_beta1.0_M3.0_theta45_seed1,main,1.5,1.0,3.0,45.0,1,MEASURABLE,1.295961,0.184545,15.569466,2.403062,6,5.046,0.1424,86.55664,False,0.7402,1.415,1,,
SC_0022,supercritical_f1.5_beta1.0_M3.0_theta45_seed2,main,1.5,1.0,3.0,45.0,2,PARTIAL,1.209429,0.362829,16.029127,2.403062,5,5.647,0.1608,36.526965,False,0.7402,1.415,1,,
SC_0023,supercritical_f1.5_beta1.0_M3.0_theta90_seed1,main,1.5,1.0,3.0,90.0,1,PARTIAL,1.032311,0.309693,18.270468,2.334403,8,5.223,0.1394,31.152698,False,0.7247,1.49,1,,
SC_0024,supercritical_f1.5_beta1.0_M3.0_theta90_seed2,main,1.5,1.0,3.0,90.0,2,PARTIAL,0.897697,0.269309,17.80239,2.334403,8,5.084,0.148,44.033216,False,0.7247,1.49,1,,
SC_0025,supercritical_f1.5_beta3.0_M1.0_theta0_seed1,main,1.5,3.0,1.0,0.0,1,PARTIAL,4.048955,1.214686,22.812745,1.739359,1,5.003,0.1037,41.519483,False,0.5042,1.3667,1,,
SC_0026,supercritical_f1.5_beta3.0_M1.0_theta0_seed2,main,1.5,3.0,1.0,0.0,2,PARTIAL,3.345142,1.003542,21.430339,1.739359,2,3.907,0.0954,31.978691,False,0.5042,1.3667,1,,
SC_0027,supercritical_f1.5_beta3.0_M1.0_theta45_seed1,main,1.5,3.0,1.0,45.0,1,PARTIAL,2.038892,0.611668,24.128463,1.716473,3,5.0,0.0855,30.853386,False,0.4909,1.3917,1,,
SC_0028,supercritical_f1.5_beta3.0_M1.0_theta45_seed2,main,1.5,3.0,1.0,45.0,2,PARTIAL,1.997955,0.599386,24.840814,1.716473,2,5.6,0.1046,44.579225,False,0.4909,1.3917,1,,
SC_0029,supercritical_f1.5_beta3.0_M1.0_theta90_seed1,main,1.5,3.0,1.0,90.0,1,PARTIAL,1.816557,0.544967,24.613073,1.693586,5,5.076,0.0901,42.884315,False,0.477,1.4167,1,,
SC_0030,supercritical_f1.5_beta3.0_M1.0_theta90_seed2,main,1.5,3.0,1.0,90.0,2,PARTIAL,1.579677,0.473903,23.982501,1.693586,5,4.937,0.0999,41.950206,False,0.477,1.4167,1,,
SC_0031,supercritical_f1.5_beta3.0_M3.0_theta0_seed1,main,1.5,3.0,3.0,0.0,1,COLLAPSED,,,12.92388,1.739359,3,4.891,0.177,59.001105,False,0.5042,1.2067,1,,
SC_0032,supercritical_f1.5_beta3.0_M3.0_theta0_seed2,main,1.5,3.0,3.0,0.0,2,COLLAPSED,,,12.538797,1.739359,1,4.487,0.1792,59.204886,False,0.5042,1.2067,1,,
SC_0033,supercritical_f1.5_beta3.0_M3.0_theta45_seed1,main,1.5,3.0,3.0,45.0,1,COLLAPSED,,,14.174923,1.716473,4,4.269,0.1751,79.13892,False,0.4909,1.2317,1,,
SC_0034,supercritical_f1.5_beta3.0_M3.0_theta45_seed2,main,1.5,3.0,3.0,45.0,2,COLLAPSED,,,13.333666,1.716473,4,4.117,0.1502,101.526336,False,0.4909,1.2317,1,,
SC_0035,supercritical_f1.5_beta3.0_M3.0_theta90_seed1,main,1.5,3.0,3.0,90.0,1,COLLAPSED,,,15.035915,1.693586,4,4.793,0.1718,78.813862,False,0.477,1.2567,1,,
SC_0036,supercritical_f1.5_beta3.0_M3.0_theta90_seed2,main,1.5,3.0,3.0,90.0,2,COLLAPSED,,,14.776877,1.693586,3,4.532,0.1755,78.293107,False,0.477,1.2567,1,,
SC_0037,supercritical_f2.0_beta0.3_M1.0_theta0_seed1,main,2.0,0.3,1.0,0.0,1,PARTIAL,2.243028,0.672908,13.086933,2.592725,5,5.266,0.0822,38.73891,False,0.8326,1.9667,1,,
SC_0038,supercritical_f2.0_beta0.3_M1.0_theta0_seed2,main,2.0,0.3,1.0,0.0,2,PARTIAL,2.419213,0.725764,12.283918,2.592725,4,5.352,0.1051,33.54394,False,0.8326,1.9667,1,,
SC_0039,supercritical_f2.0_beta0.3_M1.0_theta45_seed1,main,2.0,0.3,1.0,45.0,1,MEASURABLE,0.730526,0.061291,25.245069,2.474874,11,5.377,0.0839,91.491515,False,0.8163,2.2167,1,,
SC_0040,supercritical_f2.0_beta0.3_M1.0_theta45_seed2,main,2.0,0.3,1.0,45.0,2,MEASURABLE,0.81731,0.056558,23.95508,2.474874,11,5.476,0.0692,95.143208,False,0.8163,2.2167,1,,
SC_0041,supercritical_f2.0_beta0.3_M1.0_theta90_seed1,main,2.0,0.3,1.0,90.0,1,MEASURABLE,0.583883,0.045076,123.610735,2.357023,18,4.947,0.0772,88.8603,False,0.7975,2.4667,1,,
SC_0042,supercritical_f2.0_beta0.3_M1.0_theta90_seed2,main,2.0,0.3,1.0,90.0,2,MEASURABLE,0.593013,0.051474,118.579841,2.357023,17,4.897,0.0868,102.750917,False,0.7975,2.4667,1,,
SC_0043,supercritical_f2.0_beta0.3_M3.0_theta0_seed1,main,2.0,0.3,3.0,0.0,1,PARTIAL,1.817497,0.545249,7.347642,2.592725,6,4.413,0.1713,31.789411,False,0.8326,1.8067,1,,
SC_0044,supercritical_f2.0_beta0.3_M3.0_theta0_seed2,main,2.0,0.3,3.0,0.0,2,PARTIAL,2.196019,0.658806,7.043283,2.592725,5,4.233,0.1623,39.782707,False,0.8326,1.8067,1,,
SC_0045,supercritical_f2.0_beta0.3_M3.0_theta45_seed1,main,2.0,0.3,3.0,45.0,1,MEASURABLE,0.710701,0.094523,14.620614,2.474874,12,5.453,0.133,81.621513,False,0.8163,2.0567,1,,
SC_0046,supercritical_f2.0_beta0.3_M3.0_theta45_seed2,main,2.0,0.3,3.0,45.0,2,MEASURABLE,0.728964,0.109855,15.100452,2.474874,12,4.736,0.1507,103.217611,False,0.8163,2.0567,1,,
SC_0047,supercritical_f2.0_beta0.3_M3.0_theta90_seed1,main,2.0,0.3,3.0,90.0,1,MEASURABLE,0.536931,0.074687,74.17328,2.357023,17,4.78,0.1391,91.202849,False,0.7975,2.3067,1,,
SC_0048,supercritical_f2.0_beta0.3_M3.0_theta90_seed2,main,2.0,0.3,3.0,90.0,2,MEASURABLE,0.509547,0.070419,71.508672,2.357023,17,4.69,0.1382,104.412567,False,0.7975,2.3067,1,,
SC_0049,supercritical_f2.0_beta1.0_M1.0_theta0_seed1,main,2.0,1.0,1.0,0.0,1,COLLAPSED,,,12.429431,1.272792,3,4.201,0.1534,83.616133,False,0.3056,1.5,1,,
SC_0050,supercritical_f2.0_beta1.0_M1.0_theta0_seed2,main,2.0,1.0,1.0,0.0,2,COLLAPSED,,,12.185349,1.272792,4,4.07,0.1453,89.225125,False,0.3056,1.5,1,,
SC_0051,supercritical_f2.0_beta1.0_M1.0_theta45_seed1,main,2.0,1.0,1.0,45.0,1,PARTIAL,1.46418,0.439254,14.932414,1.237437,6,4.638,0.1333,33.319918,True,0.2653,1.575,1,,
SC_0052,supercritical_f2.0_beta1.0_M1.0_theta45_seed2,main,2.0,1.0,1.0,45.0,2,PARTIAL,1.32412,0.397236,14.14421,1.237437,7,3.562,0.1279,41.987854,True,0.2653,1.575,1,,
SC_0053,supercritical_f2.0_beta1.0_M1.0_theta90_seed1,main,2.0,1.0,1.0,90.0,1,PARTIAL,0.91772,0.275316,17.174781,1.202082,10,3.892,0.1276,31.239442,True,0.2215,1.65,1,,
SC_0054,supercritical_f2.0_beta1.0_M1.0_theta90_seed2,main,2.0,1.0,1.0,90.0,2,PARTIAL,0.866762,0.260029,17.863854,1.202082,10,4.299,0.1399,39.021869,True,0.2215,1.65,1,,
SC_0055,supercritical_f2.0_beta1.0_M3.0_theta0_seed1,main,2.0,1.0,3.0,0.0,1,COLLAPSED,,,7.325331,1.272792,4,3.762,0.2238,93.805894,False,0.3056,1.34,1,,
SC_0056,supercritical_f2.0_beta1.0_M3.0_theta0_seed2,main,2.0,1.0,3.0,0.0,2,PARTIAL,2.48262,0.744786,7.399736,1.272792,3,4.085,0.2203,34.839499,False,0.3056,1.34,1,,
SC_0057,supercritical_f2.0_beta1.0_M3.0_theta45_seed1,main,2.0,1.0,3.0,45.0,1,PARTIAL,1.16308,0.348924,8.583028,1.237437,7,3.8,0.2117,38.034649,True,0.2653,1.415,1,,
SC_0058,supercritical_f2.0_beta1.0_M3.0_theta45_seed2,main,2.0,1.0,3.0,45.0,2,PARTIAL,1.143033,0.34291,8.638897,1.237437,7,3.894,0.229,30.656875,True,0.2653,1.415,1,,
SC_0059,supercritical_f2.0_beta1.0_M3.0_theta90_seed1,main,2.0,1.0,3.0,90.0,1,PARTIAL,0.787642,0.236292,10.231636,1.202082,11,3.996,0.2097,39.623349,True,0.2215,1.49,1,,
SC_0060,supercritical_f2.0_beta1.0_M3.0_theta90_seed2,main,2.0,1.0,3.0,90.0,2,PARTIAL,0.682239,0.204672,10.194692,1.202082,11,3.611,0.2166,42.663197,True,0.2215,1.49,1,,
SC_0061,supercritical_f2.0_beta3.0_M1.0_theta0_seed1,main,2.0,3.0,1.0,0.0,1,PARTIAL,2.96058,0.888174,12.687845,0.895669,3,3.815,0.1602,32.453777,True,0.05,1.3667,1,,
SC_0062,supercritical_f2.0_beta3.0_M1.0_theta0_seed2,main,2.0,3.0,1.0,0.0,2,PARTIAL,2.918378,0.875513,12.816718,0.895669,3,4.138,0.1568,40.299227,True,0.05,1.3667,1,,
SC_0063,supercritical_f2.0_beta3.0_M1.0_theta45_seed1,main,2.0,3.0,1.0,45.0,1,PARTIAL,1.921388,0.576416,13.301373,0.883883,5,3.754,0.1549,37.864186,True,0.05,1.3917,1,,
SC_0064,supercritical_f2.0_beta3.0_M1.0_theta45_seed2,main,2.0,3.0,1.0,45.0,2,PARTIAL,1.888271,0.566481,13.387955,0.883883,5,3.847,0.1725,30.643462,True,0.05,1.3917,1,,
SC_0065,supercritical_f2.0_beta3.0_M1.0_theta90_seed1,main,2.0,3.0,1.0,90.0,1,PARTIAL,1.386012,0.415804,13.783555,0.872098,7,3.849,0.1602,42.090293,True,0.05,1.4167,1,,
SC_0066,supercritical_f2.0_beta3.0_M1.0_theta90_seed2,main,2.0,3.0,1.0,90.0,2,PARTIAL,1.200535,0.36016,13.733785,0.872098,6,3.464,0.1676,33.282594,True,0.05,1.4167,1,,
SC_0067,supercritical_f2.0_beta3.0_M3.0_theta0_seed1,main,2.0,3.0,3.0,0.0,1,PARTIAL,3.027766,0.90833,7.198794,0.895669,4,3.438,0.2219,36.026573,True,0.05,1.2067,1,,
SC_0068,supercritical_f2.0_beta3.0_M3.0_theta0_seed2,main,2.0,3.0,3.0,0.0,2,PARTIAL,2.319541,0.695862,7.541592,0.895669,4,3.071,0.2654,41.681218,True,0.05,1.2067,1,,
SC_0069,supercritical_f2.0_beta3.0_M3.0_theta45_seed1,main,2.0,3.0,3.0,45.0,1,PARTIAL,1.839538,0.551861,7.684401,0.883883,6,3.187,0.2706,33.036537,True,0.05,1.2317,1,,
SC_0070,supercritical_f2.0_beta3.0_M3.0_theta45_seed2,main,2.0,3.0,3.0,45.0,2,PARTIAL,1.867955,0.560386,8.038499,0.883883,6,3.338,0.2184,35.419274,True,0.05,1.2317,1,,
SC_0071,supercritical_f2.0_beta3.0_M3.0_theta90_seed1,main,2.0,3.0,3.0,90.0,1,PARTIAL,1.137661,0.341298,8.146096,0.872098,5,3.414,0.2181,42.827369,True,0.05,1.2567,1,,
SC_0072,supercritical_f2.0_beta3.0_M3.0_theta90_seed2,main,2.0,3.0,3.0,90.0,2,PARTIAL,1.639602,0.491881,8.132678,0.872098,6,3.118,0.2786,30.29788,True,0.05,1.2567,1,,
SC_0073,supercritical_f2.5_beta0.3_M1.0_theta0_seed1,main,2.5,0.3,1.0,0.0,1,COLLAPSED,,,8.564114,1.710933,5,4.649,0.1359,100.220001,False,0.6925,1.9667,1,,
SC_0074,supercritical_f2.5_beta0.3_M1.0_theta0_seed2,main,2.5,0.3,1.0,0.0,2,COLLAPSED,,,8.067433,1.710933,5,3.835,0.1464,128.913155,False,0.6925,1.9667,1,,
SC_0075,supercritical_f2.5_beta0.3_M1.0_theta45_seed1,main,2.5,0.3,1.0,45.0,1,COLLAPSED,,,16.913435,1.633163,15,4.878,0.1162,126.1633,False,0.6626,2.2167,1,,
SC_0076,supercritical_f2.5_beta0.3_M1.0_theta45_seed2,main,2.5,0.3,1.0,45.0,2,COLLAPSED,,,17.071521,1.633163,15,4.753,0.1391,130.682972,False,0.6626,2.2167,1,,
SC_0077,supercritical_f2.5_beta0.3_M1.0_theta90_seed1,main,2.5,0.3,1.0,90.0,1,PARTIAL,0.5,0.15,85.46041,1.555394,22,4.856,0.0789,40.290729,False,0.628,2.4667,1,,
SC_0078,supercritical_f2.5_beta0.3_M1.0_theta90_seed2,main,2.5,0.3,1.0,90.0,2,PARTIAL,0.623512,0.187054,84.357984,1.555394,22,3.968,0.0796,44.377138,False,0.628,2.4667,1,,
SC_0079,supercritical_f2.5_beta0.3_M3.0_theta0_seed1,main,2.5,0.3,3.0,0.0,1,COLLAPSED,,,4.745752,1.710933,7,3.319,0.2547,120.252093,False,0.6925,1.8067,1,,
SC_0080,supercritical_f2.5_beta0.3_M3.0_theta0_seed2,main,2.5,0.3,3.0,0.0,2,COLLAPSED,,,4.809119,1.710933,6,3.885,0.2373,117.972538,False,0.6925,1.8067,1,,
SC_0081,supercritical_f2.5_beta0.3_M3.0_theta45_seed1,main,2.5,0.3,3.0,45.0,1,COLLAPSED,,,9.761146,1.633163,15,3.751,0.2336,108.550191,False,0.6626,2.0567,1,,
SC_0082,supercritical_f2.5_beta0.3_M3.0_theta45_seed2,main,2.5,0.3,3.0,45.0,2,COLLAPSED,,,9.487147,1.633163,16,4.171,0.2141,106.445378,False,0.6626,2.0567,1,,
SC_0083,supercritical_f2.5_beta0.3_M3.0_theta90_seed1,main,2.5,0.3,3.0,90.0,1,PARTIAL,0.5,0.15,47.439161,1.555394,23,4.399,0.1645,43.985919,False,0.628,2.3067,1,,
SC_0084,supercritical_f2.5_beta0.3_M3.0_theta90_seed2,main,2.5,0.3,3.0,90.0,2,PARTIAL,0.548329,0.164499,50.473918,1.555394,22,4.25,0.1731,43.918429,False,0.628,2.3067,1,,
SC_0085,supercritical_f2.5_beta1.0_M1.0_theta0_seed1,main,2.5,1.0,1.0,0.0,1,PARTIAL,3.00157,0.900471,8.45094,0.839913,4,3.036,0.2473,35.634941,True,0.05,1.5,1,,
SC_0086,supercritical_f2.5_beta1.0_M1.0_theta0_seed2,main,2.5,1.0,1.0,0.0,2,PARTIAL,2.404227,0.721268,8.493527,0.839913,5,3.159,0.2378,42.808811,True,0.05,1.5,1,,
SC_0087,supercritical_f2.5_beta1.0_M1.0_theta45_seed1,main,2.5,1.0,1.0,45.0,1,PARTIAL,1.267259,0.380178,9.962422,0.816582,9,3.094,0.1863,32.143179,True,0.05,1.575,1,,
SC_0088,supercritical_f2.5_beta1.0_M1.0_theta45_seed2,main,2.5,1.0,1.0,45.0,2,PARTIAL,1.127926,0.338378,9.628223,0.816582,9,3.282,0.2221,38.008635,True,0.05,1.575,1,,
SC_0089,supercritical_f2.5_beta1.0_M1.0_theta90_seed1,main,2.5,1.0,1.0,90.0,1,PARTIAL,1.202101,0.36063,12.418112,0.793251,13,2.953,0.1797,37.902641,True,0.05,1.65,1,,
SC_0090,supercritical_f2.5_beta1.0_M1.0_theta90_seed2,main,2.5,1.0,1.0,90.0,2,PARTIAL,1.029878,0.308964,11.868914,0.793251,11,3.156,0.2446,42.338609,True,0.05,1.65,1,,
SC_0091,supercritical_f2.5_beta1.0_M3.0_theta0_seed1,main,2.5,1.0,3.0,0.0,1,PARTIAL,2.347504,0.776789,4.932641,0.839913,4,2.779,0.3309,36.797441,True,0.05,1.34,1,,
SC_0092,supercritical_f2.5_beta1.0_M3.0_theta0_seed2,main,2.5,1.0,3.0,0.0,2,PARTIAL,2.279373,0.683812,5.08592,0.839913,6,2.381,0.2839,34.384592,True,0.05,1.34,1,,
SC_0093,supercritical_f2.5_beta1.0_M3.0_theta45_seed1,main,2.5,1.0,3.0,45.0,1,PARTIAL,1.232771,0.393993,5.567498,0.816582,10,3.185,0.3196,33.693263,True,0.05,1.415,1,,
SC_0094,supercritical_f2.5_beta1.0_M3.0_theta45_seed2,main,2.5,1.0,3.0,45.0,2,PARTIAL,1.037122,0.311137,5.695879,0.816582,10,2.972,0.2757,31.837897,True,0.05,1.415,1,,
SC_0095,supercritical_f2.5_beta1.0_M3.0_theta90_seed1,main,2.5,1.0,3.0,90.0,1,PARTIAL,1.015627,0.309462,6.827511,0.793251,11,2.913,0.3047,34.610975,True,0.05,1.49,1,,
SC_0096,supercritical_f2.5_beta1.0_M3.0_theta90_seed2,main,2.5,1.0,3.0,90.0,2,PARTIAL,0.735013,0.220504,6.90133,0.793251,12,3.379,0.2968,41.943383,True,0.05,1.49,1,,
SC_0097,supercritical_f2.5_beta3.0_M1.0_theta0_seed1,main,2.5,3.0,1.0,0.0,1,PARTIAL,2.759546,0.827864,8.543584,0.59105,4,2.833,0.2666,35.816841,True,0.05,1.3667,1,,
SC_0098,supercritical_f2.5_beta3.0_M1.0_theta0_seed2,main,2.5,3.0,1.0,0.0,2,PARTIAL,2.679456,0.803837,8.809072,0.59105,5,2.434,0.2204,41.861341,True,0.05,1.3667,1,,
SC_0099,supercritical_f2.5_beta3.0_M1.0_theta45_seed1,main,2.5,3.0,1.0,45.0,1,PARTIAL,2.036515,0.610954,8.628117,0.583273,7,3.138,0.2634,37.203955,True,0.05,1.3917,1,,
SC_0100,supercritical_f2.5_beta3.0_M1.0_theta45_seed2,main,2.5,3.0,1.0,45.0,2,PARTIAL,1.713307,0.513992,8.827073,0.583273,6,2.926,0.2188,41.788957,True,0.05,1.3917,1,,
SC_0101,supercritical_f2.5_beta3.0_M1.0_theta90_seed1,main,2.5,3.0,1.0,90.0,1,PARTIAL,1.787197,0.536159,9.197686,0.575496,6,2.767,0.2563,32.061416,True,0.05,1.4167,1,,
SC_0102,supercritical_f2.5_beta3.0_M1.0_theta90_seed2,main,2.5,3.0,1.0,90.0,2,PARTIAL,1.293402,0.388021,9.297131,0.575496,7,3.232,0.248,41.815203,True,0.05,1.4167,1,,
SC_0103,supercritical_f2.5_beta3.0_M3.0_theta0_seed1,main,2.5,3.0,3.0,0.0,1,PARTIAL,2.401272,0.777532,4.693044,0.59105,4,2.005,0.3238,33.84842,True,0.05,1.2067,1,,
SC_0104,supercritical_f2.5_beta3.0_M3.0_theta0_seed2,main,2.5,3.0,3.0,0.0,2,PARTIAL,2.267937,0.792417,4.881334,0.59105,5,2.412,0.3494,32.841372,True,0.05,1.2067,1,,
SC_0105,supercritical_f2.5_beta3.0_M3.0_theta45_seed1,main,2.5,3.0,3.0,45.0,1,PARTIAL,1.663724,0.54487,5.363153,0.583273,8,2.74,0.3275,40.891908,True,0.05,1.2317,1,,
SC_0106,supercritical_f2.5_beta3.0_M3.0_theta45_seed2,main,2.5,3.0,3.0,45.0,2,PARTIAL,1.666677,0.500003,5.018124,0.583273,6,2.594,0.2935,39.982022,True,0.05,1.2317,1,,
SC_0107,supercritical_f2.5_beta3.0_M3.0_theta90_seed1,main,2.5,3.0,3.0,90.0,1,PARTIAL,1.415187,0.494325,5.288526,0.575496,7,2.799,0.3493,32.743289,True,0.05,1.2567,1,,
SC_0108,supercritical_f2.5_beta3.0_M3.0_theta90_seed2,main,2.5,3.0,3.0,90.0,2,PARTIAL,1.421174,0.508923,5.350394,0.575496,6,2.464,0.3581,31.261002,True,0.05,1.2567,1,,
SC_0109,supercritical_f3.0_beta0.3_M1.0_theta0_seed1,main,3.0,0.3,1.0,0.0,1,PARTIAL,2.51243,0.753729,6.089889,1.258747,5,2.759,0.2389,33.267224,False,0.5266,1.9667,1,,
SC_0110,supercritical_f3.0_beta0.3_M1.0_theta0_seed2,main,3.0,0.3,1.0,0.0,2,COLLAPSED,,,6.351612,1.258747,7,2.49,0.2608,175.569705,False,0.5266,1.9667,1,,
SC_0111,supercritical_f3.0_beta0.3_M1.0_theta45_seed1,main,3.0,0.3,1.0,45.0,1,PARTIAL,0.699721,0.209916,12.977147,1.201531,18,3.797,0.1765,42.160606,False,0.4805,2.2167,1,,
SC_0112,supercritical_f3.0_beta0.3_M1.0_theta45_seed2,main,3.0,0.3,1.0,45.0,2,PARTIAL,0.606642,0.181993,12.600926,1.201531,18,3.42,0.1834,32.94953,False,0.4805,2.2167,1,,
SC_0113,supercritical_f3.0_beta0.3_M1.0_theta90_seed1,main,3.0,0.3,1.0,90.0,1,COLLAPSED,,,62.645018,1.144315,25,3.8,0.1539,203.12294,False,0.4272,2.4667,1,,
SC_0114,supercritical_f3.0_beta0.3_M1.0_theta90_seed2,main,3.0,0.3,1.0,90.0,2,COLLAPSED,,,63.32977,1.144315,27,3.051,0.1541,128.522782,False,0.4272,2.4667,1,,
SC_0115,supercritical_f3.0_beta0.3_M3.0_theta0_seed1,main,3.0,0.3,3.0,0.0,1,COLLAPSED,,,3.595489,1.258747,5,2.406,0.3265,141.441314,False,0.5266,1.8067,1,,
SC_0116,supercritical_f3.0_beta0.3_M3.0_theta0_seed2,main,3.0,0.3,3.0,0.0,2,COLLAPSED,,,3.67267,1.258747,7,3.092,0.3183,140.851971,False,0.5266,1.8067,1,,
SC_0117,supercritical_f3.0_beta0.3_M3.0_theta45_seed1,main,3.0,0.3,3.0,45.0,1,COLLAPSED,,,7.620358,1.201531,17,2.41,0.2873,142.982511,False,0.4805,2.0567,1,,
SC_0118,supercritical_f3.0_beta0.3_M3.0_theta45_seed2,main,3.0,0.3,3.0,45.0,2,COLLAPSED,,,6.76894,1.201531,18,3.012,0.2744,123.630354,False,0.4805,2.0567,1,,
SC_0119,supercritical_f3.0_beta0.3_M3.0_theta90_seed1,main,3.0,0.3,3.0,90.0,1,COLLAPSED,,,35.677548,1.144315,25,3.9,0.2491,176.544188,False,0.4272,2.3067,1,,
SC_0120,supercritical_f3.0_beta0.3_M3.0_theta90_seed2,main,3.0,0.3,3.0,90.0,2,PARTIAL,0.5,0.15,35.619311,1.144315,27,3.904,0.247,41.807083,False,0.4272,2.3067,1,,
SC_0121,supercritical_f3.0_beta1.0_M1.0_theta0_seed1,main,3.0,1.0,1.0,0.0,1,PARTIAL,3.161788,0.966559,6.067733,0.61793,5,2.02,0.3057,38.308638,True,0.05,1.5,1,,
SC_0122,supercritical_f3.0_beta1.0_M1.0_theta0_seed2,main,3.0,1.0,1.0,0.0,2,PARTIAL,2.512018,0.753606,6.237925,0.61793,5,2.373,0.2757,35.707976,True,0.05,1.5,1,,
SC_0123,supercritical_f3.0_beta1.0_M1.0_theta45_seed1,main,3.0,1.0,1.0,45.0,1,PARTIAL,1.130919,0.339276,7.447863,0.600765,11,2.015,0.2862,44.402577,True,0.05,1.575,1,,
