sim_name,f,beta,M,theta,seed,classification,lambda_W,lambda_W_err,t_frag,t_radial,t_J,N_peaks,peak_significance,sigma_lw,contrast,radial_collapsed,radial_width_frac,f_transition,sim_id,priority,grid
supercritical_f2.2_beta0.3_M1.0_theta0_seed1,2.2,0.3,1.0,0.0,1,COLLAPSED,,,10.72524634269511,2.156126093694692,0.674199862463242,5,4.333,0.1174,90.81650039533245,False,0.78,1.9667,P2_0017,1,longitudinal
supercritical_f2.2_beta0.3_M1.0_theta0_seed2,2.2,0.3,1.0,0.0,2,COLLAPSED,,,10.280977559506143,2.156126093694692,0.674199862463242,4,4.153,0.1079,115.45770451733749,False,0.78,1.9667,P2_0018,1,longitudinal
supercritical_f2.5_beta0.3_M1.0_theta0_seed1,2.5,0.3,1.0,0.0,1,COLLAPSED,,,8.56411428939324,1.7109329167727299,0.6324555320336759,5,4.649,0.1359,100.22000057344884,False,0.6925,1.9667,P2_0019,1,longitudinal
supercritical_f2.5_beta0.3_M1.0_theta0_seed2,2.5,0.3,1.0,0.0,2,COLLAPSED,,,8.067433222924329,1.7109329167727299,0.6324555320336759,5,3.835,0.1464,128.91315522241888,False,0.6925,1.9667,P2_0020,1,longitudinal
supercritical_f1.3_beta0.3_M2.0_theta0_seed1,1.3,0.3,2.0,0.0,1,PARTIAL,2.384297704692989,0.7152893114078966,22.32875762247631,7.933390161047939,0.8770580193070292,1,5.146,0.1134,43.71840135162812,False,0.9725,1.8867,P2_0021,1,longitudinal
supercritical_f1.3_beta0.3_M2.0_theta0_seed2,1.3,0.3,2.0,0.0,2,PARTIAL,2.215417936359784,0.6646253809079351,23.103281394152646,7.933390161047939,0.8770580193070292,1,4.863,0.1159,41.13115027402963,False,0.9725,1.8867,P2_0022,1,longitudinal
supercritical_f1.4_beta0.3_M2.0_theta0_seed1,1.4,0.3,2.0,0.0,1,PARTIAL,1.91677134975042,0.5750314049251259,18.31390922772411,6.16115903405311,0.8451542547285166,2,4.962,0.13,39.112465653802985,False,0.9577,1.8867,P2_0023,1,longitudinal
supercritical_f1.4_beta0.3_M2.0_theta0_seed2,1.4,0.3,2.0,0.0,2,MEASURABLE,2.7490758323577427,0.30652195530788834,18.166761479527324,6.16115903405311,0.8451542547285166,3,5.441,0.1115,102.70719164654287,False,0.9577,1.8867,P2_0024,1,longitudinal
supercritical_f1.5_beta0.3_M2.0_theta0_seed1,1.5,0.3,2.0,0.0,1,PARTIAL,2.369948512037982,0.7109845536113947,15.966748660949525,5.0349863517729565,0.8164965809277261,2,5.201,0.107,36.70904389026121,False,0.9408,1.8867,P2_0025,1,longitudinal
supercritical_f1.5_beta0.3_M2.0_theta0_seed2,1.5,0.3,2.0,0.0,2,MEASURABLE,2.4464094402646936,0.2737532163656192,15.838241393708595,5.0349863517729565,0.8164965809277261,4,4.665,0.1119,82.07054840843281,False,0.9408,1.8867,P2_0026,1,longitudinal
supercritical_f1.6_beta0.3_M2.0_theta0_seed1,1.6,0.3,2.0,0.0,1,MEASURABLE,2.4387952302634455,0.28216860814148065,13.59795151716554,4.252046461229326,0.7905694150420948,5,4.98,0.1157,105.61257984072267,False,0.9222,1.8867,P2_0027,1,longitudinal
supercritical_f1.6_beta0.3_M2.0_theta0_seed2,1.6,0.3,2.0,0.0,2,PARTIAL,2.350186757178487,0.7050560271535461,13.801691983531814,4.252046461229326,0.7905694150420948,2,5.184,0.0996,36.313975480126146,False,0.9222,1.8867,P2_0028,1,longitudinal
supercritical_f1.7_beta0.3_M2.0_theta0_seed1,1.7,0.3,2.0,0.0,1,MEASURABLE,2.3776617667889024,0.259878431110027,11.804147702424965,3.6747131182379795,0.7669649888473704,3,4.575,0.1093,99.38011007992739,False,0.902,1.8867,P2_0029,1,longitudinal
supercritical_f1.7_beta0.3_M2.0_theta0_seed2,1.7,0.3,2.0,0.0,2,MEASURABLE,2.2068347787531613,0.2529032656451123,11.80268497855595,3.6747131182379795,0.7669649888473704,4,5.079,0.1146,98.44796856506038,False,0.902,1.8867,P2_0030,1,longitudinal
supercritical_f1.8_beta0.3_M2.0_theta0_seed1,1.8,0.3,2.0,0.0,1,PARTIAL,1.9104472779918935,0.573134183397568,10.6360348089734,3.2308566382906125,0.7453559924999299,4,5.182,0.1127,36.25568364888542,False,0.8803,1.8867,P2_0031,1,longitudinal
supercritical_f1.8_beta0.3_M2.0_theta0_seed2,1.8,0.3,2.0,0.0,2,MEASURABLE,2.2088481734022287,0.2754433672232579,10.79328357144129,3.2308566382906125,0.7453559924999299,3,4.702,0.1247,103.70759179257176,False,0.8803,1.8867,P2_0032,1,longitudinal
supercritical_f1.9_beta0.3_M2.0_theta0_seed1,1.9,0.3,2.0,0.0,1,MEASURABLE,2.2307051240640456,0.24381607006020017,10.178914460471141,2.878808311498888,0.7254762501100117,5,5.306,0.1093,119.81612014203324,False,0.8571,1.8867,P2_0033,1,longitudinal
supercritical_f1.9_beta0.3_M2.0_theta0_seed2,1.9,0.3,2.0,0.0,2,MEASURABLE,2.287362230820834,0.3005593971298576,9.554335040811974,2.878808311498888,0.7254762501100117,4,5.392,0.1314,96.20168666942341,False,0.8571,1.8867,P2_0034,1,longitudinal
supercritical_f2.0_beta0.3_M2.0_theta0_seed1,2.0,0.3,2.0,0.0,1,PARTIAL,2.5770220076058115,0.7731066022817434,9.101273137115182,2.592724864350674,0.7071067811865475,5,4.43,0.119,44.231040014151205,False,0.8326,1.8867,P2_0035,1,longitudinal
supercritical_f2.0_beta0.3_M2.0_theta0_seed2,2.0,0.3,2.0,0.0,2,PARTIAL,2.00479306510544,0.601437919531632,9.023414849496424,2.592724864350674,0.7071067811865475,4,4.302,0.1305,34.875465489023874,False,0.8326,1.8867,P2_0036,1,longitudinal
supercritical_f2.2_beta0.3_M2.0_theta0_seed1,2.2,0.3,2.0,0.0,1,COLLAPSED,,,7.728072623662821,2.156126093694692,0.674199862463242,6,4.631,0.1601,112.0137367938639,False,0.78,1.8867,P2_0037,1,longitudinal
supercritical_f2.2_beta0.3_M2.0_theta0_seed2,2.2,0.3,2.0,0.0,2,COLLAPSED,,,7.483291518780813,2.156126093694692,0.674199862463242,3,3.734,0.1599,100.33974556090035,False,0.78,1.8867,P2_0038,1,longitudinal
supercritical_f2.5_beta0.3_M2.0_theta0_seed1,2.5,0.3,2.0,0.0,1,COLLAPSED,,,5.884836808392504,1.7109329167727299,0.6324555320336759,7,4.183,0.2049,118.395014620523,False,0.6925,1.8867,P2_0039,1,longitudinal
supercritical_f2.5_beta0.3_M2.0_theta0_seed2,2.5,0.3,2.0,0.0,2,PARTIAL,2.0542269736659717,0.6162680920997915,6.103208395020772,1.7109329167727299,0.6324555320336759,5,3.943,0.2015,38.008430748021375,False,0.6925,1.8867,P2_0040,1,longitudinal
supercritical_f1.3_beta0.3_M3.0_theta0_seed1,1.3,0.3,3.0,0.0,1,PARTIAL,1.8567123171200315,0.5570136951360094,18.303697958891377,7.933390161047939,0.8770580193070292,2,4.962,0.16,39.112465653802985,False,0.9725,1.8067,P2_0041,1,longitudinal
supercritical_f1.3_beta0.3_M3.0_theta0_seed2,1.3,0.3,3.0,0.0,2,MEASURABLE,2.662937840395121,0.3768057044159096,18.15663225572366,7.933390161047939,0.8770580193070292,3,5.441,0.1415,102.70719164654287,False,0.9725,1.8067,P2_0042,1,longitudinal
supercritical_f1.4_beta0.3_M3.0_theta0_seed1,1.4,0.3,3.0,0.0,1,PARTIAL,2.2921697778354355,0.6876509333506307,15.398267539920363,6.16115903405311,0.8451542547285166,1,5.201,0.137,36.70904389026121,False,0.9577,1.8067,P2_0043,1,longitudinal
supercritical_f1.4_beta0.3_M3.0_theta0_seed2,1.4,0.3,3.0,0.0,2,MEASURABLE,2.366121354410321,0.3357526201908245,15.27433565348443,6.16115903405311,0.8451542547285166,3,4.665,0.1419,82.07054840843281,False,0.9577,1.8067,P2_0044,1,longitudinal
supercritical_f1.5_beta0.3_M3.0_theta0_seed1,1.5,0.3,3.0,0.0,1,MEASURABLE,2.3556071192473795,0.34321195727434317,12.81001131429611,5.0349863517729565,0.8164965809277261,5,4.98,0.1457,105.61257984072267,False,0.9408,1.8067,P2_0045,1,longitudinal
supercritical_f1.5_beta0.3_M3.0_theta0_seed2,1.5,0.3,3.0,0.0,2,PARTIAL,2.270021110453184,0.6810063331359553,13.001945935921821,5.0349863517729565,0.8164965809277261,2,5.184,0.1296,36.313975480126146,False,0.9408,1.8067,P2_0046,1,longitudinal
supercritical_f1.6_beta0.3_M3.0_theta0_seed1,1.6,0.3,3.0,0.0,1,MEASURABLE,2.293863970752231,0.3195352511257858,10.935082849842795,4.252046461229326,0.7905694150420948,3,4.575,0.1393,87.69389038781001,False,0.9222,1.8067,P2_0047,1,longitudinal
supercritical_f1.6_beta0.3_M3.0_theta0_seed2,1.6,0.3,3.0,0.0,2,MEASURABLE,2.1290575720622615,0.30786172492020303,10.93372781709521,4.252046461229326,0.7905694150420948,4,5.079,0.1446,94.26106801135606,False,0.9222,1.8067,P2_0048,1,longitudinal
supercritical_f1.7_beta0.3_M3.0_theta0_seed1,1.7,0.3,3.0,0.0,1,PARTIAL,1.8412002973966513,0.5523600892189954,9.728346246748869,3.6747131182379795,0.7669649888473704,4,5.182,0.1427,36.25568364888542,False,0.902,1.8067,P2_0049,1,longitudinal
supercritical_f1.7_beta0.3_M3.0_theta0_seed2,1.7,0.3,3.0,0.0,2,MEASURABLE,2.1287852120405333,0.3293230723026705,9.872175261568353,3.6747131182379795,0.7669649888473704,3,4.702,0.1547,103.70759179257176,False,0.902,1.8067,P2_0050,1,longitudinal
supercritical_f1.8_beta0.3_M3.0_theta0_seed1,1.8,0.3,3.0,0.0,1,MEASURABLE,2.147857169381255,0.2949007893560463,9.217064521147982,3.2308566382906125,0.7453559924999299,4,5.333,0.1373,119.81612014203324,False,0.8803,1.8067,P2_0051,1,longitudinal
supercritical_f1.8_beta0.3_M3.0_theta0_seed2,1.8,0.3,3.0,0.0,2,MEASURABLE,2.2024100422066244,0.34996295570663266,8.651504329839208,3.2308566382906125,0.7453559924999299,3,5.419,0.1589,96.20168666942341,False,0.8803,1.8067,P2_0052,1,longitudinal
supercritical_f1.9_beta0.3_M3.0_theta0_seed1,1.9,0.3,3.0,0.0,1,PARTIAL,2.479247876785268,0.7437743630355803,8.174008587435965,2.878808311498888,0.7254762501100117,5,4.47,0.1463,44.231040014151205,False,0.8571,1.8067,P2_0053,1,longitudinal
supercritical_f1.9_beta0.3_M3.0_theta0_seed2,1.9,0.3,3.0,0.0,2,PARTIAL,1.9287297257791889,0.5786189177337566,8.104082731787981,2.878808311498888,0.7254762501100117,4,4.342,0.1574,34.875465489023874,False,0.8571,1.8067,P2_0054,1,longitudinal
supercritical_f2.0_beta0.3_M3.0_theta0_seed1,2.0,0.3,3.0,0.0,1,PARTIAL,1.817497306751489,0.5452491920254466,7.347641799221133,2.592724864350674,0.7071067811865475,6,4.413,0.1713,31.78941117983066,False,0.8326,1.8067,P2_0055,1,longitudinal
supercritical_f2.0_beta0.3_M3.0_theta0_seed2,2.0,0.3,3.0,0.0,2,PARTIAL,2.1960186624137683,0.6588055987241305,7.043282554020982,2.592724864350674,0.7071067811865475,5,4.233,0.1623,39.78270732880362,False,0.8326,1.8067,P2_0056,1,longitudinal
supercritical_f2.2_beta0.3_M3.0_theta0_seed1,2.2,0.3,3.0,0.0,1,COLLAPSED,,,6.280165647198645,2.156126093694692,0.674199862463242,5,4.627,0.1938,128.05201955032842,False,0.78,1.8067,P2_0057,1,longitudinal
supercritical_f2.2_beta0.3_M3.0_theta0_seed2,2.2,0.3,3.0,0.0,2,COLLAPSED,,,6.148963338139532,2.156126093694692,0.674199862463242,5,4.788,0.1734,123.15610276166449,False,0.78,1.8067,P2_0058,1,longitudinal
supercritical_f2.5_beta0.3_M3.0_theta0_seed1,2.5,0.3,3.0,0.0,1,COLLAPSED,,,4.74575174616338,1.7109329167727299,0.6324555320336759,7,3.319,0.2547,120.25209306723337,False,0.6925,1.8067,P2_0059,1,longitudinal
supercritical_f2.5_beta0.3_M3.0_theta0_seed2,2.5,0.3,3.0,0.0,2,COLLAPSED,,,4.809118652339973,1.7109329167727299,0.6324555320336759,6,3.885,0.2373,117.97253784119468,False,0.6925,1.8067,P2_0060,1,longitudinal
supercritical_f1.3_beta0.5_M1.0_theta0_seed1,1.3,0.5,1.0,0.0,1,PARTIAL,3.7781204052851813,1.1334361215855544,32.48216491817033,5.625494841470356,0.8770580193070292,2,5.149,0.0918,41.72931848827387,False,0.9453,1.7,P2_0061,1,longitudinal
supercritical_f1.3_beta0.5_M1.0_theta0_seed2,1.3,0.5,1.0,0.0,2,MEASURABLE,3.0361940917552754,0.2693104159386929,32.57737312656403,5.625494841470356,0.8770580193070292,3,5.221,0.0887,99.05085473628978,False,0.9453,1.7,P2_0062,1,longitudinal
supercritical_f1.4_beta0.5_M1.0_theta0_seed1,1.4,0.5,1.0,0.0,1,PARTIAL,2.4835701315331837,0.7450710394599551,25.436160024528895,4.368821860510387,0.8451542547285166,2,4.654,0.0748,33.57619786272599,False,0.9158,1.7,P2_0063,1,longitudinal
supercritical_f1.4_beta0.5_M1.0_theta0_seed2,1.4,0.5,1.0,0.0,2,MEASURABLE,3.0602893360143115,0.21452628245460323,26.345954068028924,4.368821860510387,0.8451542547285166,3,5.341,0.0701,101.84989605105852,False,0.9158,1.7,P2_0064,1,longitudinal
supercritical_f1.5_beta0.5_M1.0_theta0_seed1,1.5,0.5,1.0,0.0,1,PARTIAL,2.802915516606396,0.8408746549819187,23.352122019622765,3.570263049439005,0.8164965809277261,1,4.966,0.0768,37.84378307583273,False,0.8823,1.7,P2_0065,1,longitudinal
supercritical_f1.5_beta0.5_M1.0_theta0_seed2,1.5,0.5,1.0,0.0,2,MEASURABLE,2.877247062184224,0.22010940025709314,22.3205495289274,3.570263049439005,0.8164965809277261,3,4.605,0.0765,103.36345364027287,False,0.8823,1.7,P2_0066,1,longitudinal
supercritical_f1.6_beta0.5_M1.0_theta0_seed1,1.6,0.5,1.0,0.0,1,PARTIAL,2.4676770216634134,0.740303106499024,19.830181640447677,3.0150874906898855,0.7905694150420948,3,4.765,0.0748,44.71989988534541,False,0.8453,1.7,P2_0067,1,longitudinal
supercritical_f1.6_beta0.5_M1.0_theta0_seed2,1.6,0.5,1.0,0.0,2,MEASURABLE,3.0540745081031244,0.243409738295819,18.31654071862677,3.0150874906898855,0.7905694150420948,4,5.346,0.0797,109.82858426612935,False,0.8453,1.7,P2_0068,1,longitudinal
supercritical_f1.7_beta0.5_M1.0_theta0_seed1,1.7,0.5,1.0,0.0,1,PARTIAL,3.041553242565726,0.9124659727697177,17.2866019362836,2.605705665659658,0.7669649888473704,2,5.131,0.0802,30.452355210684996,False,0.8051,1.7,P2_0069,1,longitudinal
supercritical_f1.7_beta0.5_M1.0_theta0_seed2,1.7,0.5,1.0,0.0,2,MEASURABLE,2.6028073364016717,0.2259236767996651,16.523032079937824,2.605705665659658,0.7669649888473704,3,5.24,0.0868,93.72129602712039,False,0.8051,1.7,P2_0070,1,longitudinal
supercritical_f1.8_beta0.5_M1.0_theta0_seed1,1.8,0.5,1.0,0.0,1,PARTIAL,2.4884612767914835,0.746538383037445,16.090208203246696,2.2909710707878888,0.7453559924999299,2,4.374,0.1133,41.80717869422986,False,0.7618,1.7,P2_0071,1,longitudinal
supercritical_f1.8_beta0.5_M1.0_theta0_seed2,1.8,0.5,1.0,0.0,2,MEASURABLE,2.95009522251137,0.2548882272249824,14.938887241987613,2.2909710707878888,0.7453559924999299,3,5.102,0.0864,110.50939152803483,False,0.7618,1.7,P2_0072,1,longitudinal
supercritical_f1.9_beta0.5_M1.0_theta0_seed1,1.9,0.5,1.0,0.0,1,PARTIAL,2.8546648387268982,0.8563994516180694,14.003245257205467,2.0413368026992114,0.7254762501100117,4,5.231,0.1239,40.80476739253936,False,0.7158,1.7,P2_0073,1,longitudinal
supercritical_f1.9_beta0.5_M1.0_theta0_seed2,1.9,0.5,1.0,0.0,2,PARTIAL,2.424407992897511,0.7273223978692532,13.17970140990608,2.0413368026992114,0.7254762501100117,3,3.724,0.1026,34.25962726054006,False,0.7158,1.7,P2_0074,1,longitudinal
supercritical_f2.0_beta0.5_M1.0_theta0_seed1,2.0,0.5,1.0,0.0,1,COLLAPSED,,,12.463996417115307,1.8384776310850235,0.7071067811865475,2,4.416,0.1213,93.81673941609058,False,0.6672,1.7,P2_0075,1,longitudinal
supercritical_f2.0_beta0.5_M1.0_theta0_seed2,2.0,0.5,1.0,0.0,2,COLLAPSED,,,12.415784400022556,1.8384776310850235,0.7071067811865475,4,3.522,0.128,93.37973853106946,False,0.6672,1.7,P2_0076,1,longitudinal
supercritical_f2.2_beta0.5_M1.0_theta0_seed1,2.2,0.5,1.0,0.0,1,COLLAPSED,,,10.798836203381569,1.5288894118925997,0.674199862463242,4,4.216,0.1377,100.4010816178632,False,0.5625,1.7,P2_0077,1,longitudinal
supercritical_f2.2_beta0.5_M1.0_theta0_seed2,2.2,0.5,1.0,0.0,2,COLLAPSED,,,11.117653011430123,1.5288894118925997,0.674199862463242,3,4.817,0.1685,97.83305779820542,False,0.5625,1.7,P2_0078,1,longitudinal
supercritical_f2.5_beta0.5_M1.0_theta0_seed1,2.5,0.5,1.0,0.0,1,COLLAPSED,,,8.581731252014638,1.2132069773479357,0.6324555320336759,3,3.888,0.1854,137.91919760867177,False,0.3885,1.7,P2_0079,1,longitudinal
supercritical_f2.5_beta0.5_M1.0_theta0_seed2,2.5,0.5,1.0,0.0,2,COLLAPSED,,,8.128746601896111,1.2132069773479357,0.6324555320336759,4,2.812,0.1779,121.73686732239769,False,0.3885,1.7,P2_0080,1,longitudinal
supercritical_f1.3_beta0.5_M2.0_theta0_seed1,1.3,0.5,2.0,0.0,1,MEASURABLE,2.7415694350764825,0.2873164767960154,22.01607842395344,5.625494841470356,0.8770580193070292,3,4.654,0.1048,93.8615984341463,False,0.9453,1.62,P2_0081,1,longitudinal
supercritical_f1.3_beta0.5_M2.0_theta0_seed2,1.3,0.5,2.0,0.0,2,MEASURABLE,2.9726343999385625,0.2975607034338501,22.803543866537016,5.625494841470356,0.8770580193070292,3,5.341,0.1001,97.96863514345843,False,0.9453,1.62,P2_0082,1,longitudinal
supercritical_f1.4_beta0.5_M2.0_theta0_seed1,1.4,0.5,2.0,0.0,1,PARTIAL,2.7184577027411096,0.8155373108223328,19.503491038296417,4.368821860510387,0.8451542547285166,1,4.966,0.1068,33.83036213627375,False,0.9158,1.62,P2_0083,1,longitudinal
supercritical_f1.4_beta0.5_M2.0_theta0_seed2,1.4,0.5,2.0,0.0,2,MEASURABLE,2.7905494805472957,0.297193519678287,18.641930585215366,4.368821860510387,0.8451542547285166,4,4.605,0.1065,124.81151011599356,False,0.9158,1.62,P2_0084,1,longitudinal
supercritical_f1.5_beta0.5_M2.0_theta0_seed1,1.5,0.5,2.0,0.0,1,PARTIAL,2.3901245869320484,0.7170373760796145,16.178317302837133,3.570263049439005,0.8164965809277261,2,4.765,0.1048,38.99852171597329,False,0.8823,1.62,P2_0085,1,longitudinal
supercritical_f1.5_beta0.5_M2.0_theta0_seed2,1.5,0.5,2.0,0.0,2,MEASURABLE,2.9580931815862788,0.3245028220200148,14.943423767327154,3.570263049439005,0.8164965809277261,4,5.346,0.1097,99.08828025361376,False,0.8823,1.62,P2_0086,1,longitudinal
supercritical_f1.6_beta0.5_M2.0_theta0_seed1,1.6,0.5,2.0,0.0,1,PARTIAL,2.9425083920068404,0.8827525176020521,13.868443001188266,3.0150874906898855,0.7905694150420948,2,5.131,0.1102,43.62710185696386,False,0.8453,1.62,P2_0087,1,longitudinal
supercritical_f1.6_beta0.5_M2.0_theta0_seed2,1.6,0.5,2.0,0.0,2,MEASURABLE,2.5180497658092165,0.2941082126465165,13.255857307991382,3.0150874906898855,0.7905694150420948,4,5.24,0.1168,104.98089039951029,False,0.8453,1.62,P2_0088,1,longitudinal
supercritical_f1.7_beta0.5_M2.0_theta0_seed1,1.7,0.5,2.0,0.0,1,PARTIAL,2.4049251684798643,0.7214775505439592,12.745344094742277,2.605705665659658,0.7669649888473704,2,4.414,0.1397,42.168987169141374,False,0.8051,1.62,P2_0089,1,longitudinal
supercritical_f1.7_beta0.5_M2.0_theta0_seed2,1.7,0.5,2.0,0.0,2,PARTIAL,3.1903520761355613,0.9571056228406684,11.8333619979677,2.605705665659658,0.7669649888473704,3,5.142,0.1137,34.64444494304975,False,0.8051,1.62,P2_0090,1,longitudinal
supercritical_f1.8_beta0.5_M2.0_theta0_seed1,1.8,0.5,2.0,0.0,1,MEASURABLE,2.67597927882534,0.4027348814632137,10.981217407420203,2.2909710707878888,0.7453559924999299,4,5.271,0.1505,102.69381004944465,False,0.7618,1.62,P2_0091,1,longitudinal
supercritical_f1.8_beta0.5_M2.0_theta0_seed2,1.8,0.5,2.0,0.0,2,MEASURABLE,2.5375032920968823,0.3293679273141753,10.33540182213047,2.2909710707878888,0.7453559924999299,3,3.764,0.1298,122.11213522988609,False,0.7618,1.62,P2_0092,1,longitudinal
supercritical_f1.9_beta0.5_M2.0_theta0_seed1,1.9,0.5,2.0,0.0,1,COLLAPSED,,,9.694398963103161,2.0413368026992114,0.7254762501100117,3,4.456,0.1484,89.12590244528604,False,0.7158,1.62,P2_0093,1,longitudinal
supercritical_f1.9_beta0.5_M2.0_theta0_seed2,1.9,0.5,2.0,0.0,2,COLLAPSED,,,9.656900033155518,2.0413368026992114,0.7254762501100117,4,3.562,0.1549,88.71075160451599,False,0.7158,1.62,P2_0094,1,longitudinal
supercritical_f2.0_beta0.5_M2.0_theta0_seed1,2.0,0.5,2.0,0.0,1,COLLAPSED,,,9.37477997950977,1.8384776310850235,0.7071067811865475,4,4.161,0.1777,115.17836147768968,False,0.6672,1.62,P2_0095,1,longitudinal
supercritical_f2.0_beta0.5_M2.0_theta0_seed2,2.0,0.5,2.0,0.0,2,COLLAPSED,,,9.045355450583486,1.8384776310850235,0.7071067811865475,3,3.926,0.1832,117.39979880902519,False,0.6672,1.62,P2_0096,1,longitudinal
supercritical_f2.2_beta0.5_M2.0_theta0_seed1,2.2,0.5,2.0,0.0,1,COLLAPSED,,,7.4006080149582445,1.5288894118925997,0.674199862463242,5,3.727,0.1755,102.29176754812275,False,0.5625,1.62,P2_0097,1,longitudinal
supercritical_f2.2_beta0.5_M2.0_theta0_seed2,2.2,0.5,2.0,0.0,2,PARTIAL,3.3036682952382206,0.9911004885714662,7.6219880541084235,1.5288894118925997,0.674199862463242,4,3.492,0.1842,38.22096979355754,False,0.5625,1.62,P2_0098,1,longitudinal
supercritical_f2.5_beta0.5_M2.0_theta0_seed1,2.5,0.5,2.0,0.0,1,COLLAPSED,,,5.921654300282142,1.2132069773479357,0.6324555320336759,5,3.172,0.2768,122.84457579077198,False,0.3885,1.62,P2_0099,1,longitudinal
