sim_name,f,beta,M,theta,seed,resolution,density_contrast,perturb_offset,sim_type,classification,lambda_W,lambda_W_err,t_frag,t_radial,t_J,N_peaks,peak_significance,sigma_lw,contrast,radial_collapsed,radial_width_frac,f_transition,survival_time,decay_mode,lw_asymptotic,lw_early_representative,lw_t0.5,lw_t1.0,lw_t1.5,lw_t2.0,lw_t2.5,lw_t3.0,class_t0.5,class_t1.0,class_t1.5,class_t2.0,class_t2.5,class_t3.0,sim_id,subcampaign
supercritical_f1.85_beta0.1_M1.0_theta0_seed1_res128_dc1.0,1.850000,0.100000,1.000000,0.000000,1,128,1.000000,0.000000,fine_sample_A,MEASURABLE,2.313116,0.177879,14.502293,7.474677,0.735215,4,4.769000,0.076900,97.216206,False,0.978200,3.300000,3.000000,persistent,2.272339,True,2.336194,2.252127,2.313116,2.289587,2.287941,2.302823,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,P3_0023,A
supercritical_f1.85_beta0.1_M1.0_theta0_seed2_res128_dc1.0,1.850000,0.100000,1.000000,0.000000,2,128,1.000000,0.000000,fine_sample_A,MEASURABLE,2.302449,0.167849,14.502293,7.474677,0.735215,4,4.729000,0.072900,113.627563,False,0.978200,3.300000,3.000000,persistent,2.262517,True,2.319936,2.230487,2.302449,2.237504,2.294343,2.326797,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,P3_0024,A
supercritical_f1.90_beta0.1_M1.0_theta0_seed1_res128_dc1.0,1.900000,0.100000,1.000000,0.000000,1,128,1.000000,0.000000,fine_sample_A,MEASURABLE,2.277070,0.183076,13.786606,7.066166,0.725476,3,5.248000,0.080400,116.739325,False,0.976300,3.300000,3.000000,persistent,2.277578,True,2.175894,2.241765,2.277070,2.279463,2.292737,2.342137,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,P3_0025,A
supercritical_f1.90_beta0.1_M1.0_theta0_seed2_res128_dc1.0,1.900000,0.100000,1.000000,0.000000,2,128,1.000000,0.000000,fine_sample_A,MEASURABLE,2.299994,0.209299,13.786606,7.066166,0.725476,3,4.652000,0.091000,93.204211,False,0.976300,3.300000,3.000000,persistent,2.310449,True,2.440977,2.357860,2.299994,2.310717,2.335267,2.346816,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,P3_0026,A
supercritical_f1.95_beta0.1_M1.0_theta0_seed1_res128_dc1.0,1.950000,0.100000,1.000000,0.000000,1,128,1.000000,0.000000,fine_sample_A,MEASURABLE,2.288895,0.191581,13.133011,6.697805,0.716115,4,5.517000,0.083700,105.469682,False,0.974300,3.300000,3.000000,persistent,2.253414,True,2.296156,2.258683,2.288895,2.287835,2.287378,2.288176,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,P3_0027,A
supercritical_f1.95_beta0.1_M1.0_theta0_seed2_res128_dc1.0,1.950000,0.100000,1.000000,0.000000,2,128,1.000000,0.000000,fine_sample_A,MEASURABLE,2.479630,0.228374,13.133011,6.697805,0.716115,5,4.546000,0.092100,103.280015,False,0.974300,3.300000,3.000000,persistent,2.393344,True,2.446535,2.447100,2.479630,2.426540,2.431090,2.454493,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,P3_0028,A
supercritical_f2.00_beta0.1_M1.0_theta0_seed1_res128_dc1.0,2.000000,0.100000,1.000000,0.000000,1,128,1.000000,0.000000,fine_sample_A,MEASURABLE,2.167681,0.159541,12.533686,6.363961,0.707107,4,5.096000,0.073600,105.220216,False,0.972200,3.300000,3.000000,persistent,2.202291,True,2.227424,2.179011,2.167681,2.204016,2.216923,2.262156,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,P3_0029,A
supercritical_f2.00_beta0.1_M1.0_theta0_seed2_res128_dc1.0,2.000000,0.100000,1.000000,0.000000,2,128,1.000000,0.000000,fine_sample_A,MEASURABLE,2.268187,0.163309,12.533686,6.363961,0.707107,3,4.776000,0.072000,92.146213,False,0.972200,3.300000,3.000000,persistent,2.251984,True,2.156381,2.280623,2.268187,2.274805,2.290678,2.303915,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,P3_0030,A
supercritical_f1.30_beta0.3_M1.0_theta0_seed1_res128_dc1.0,1.300000,0.300000,1.000000,0.000000,1,128,1.000000,0.000000,fine_sample_A,PARTIAL,2.736181,0.242152,32.415909,7.933390,0.877058,2,4.601000,0.088500,35.686215,False,0.972500,1.966667,0.000000,never_fragmented,2.758678,True,2.779976,2.745119,2.736181,2.827200,2.788140,2.832478,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,P3_0031,A
supercritical_f1.30_beta0.3_M1.0_theta0_seed2_res128_dc1.0,1.300000,0.300000,1.000000,0.000000,2,128,1.000000,0.000000,fine_sample_A,PARTIAL,2.698977,0.245337,32.415909,7.933390,0.877058,2,5.132000,0.090900,35.561323,False,0.972500,1.966667,0.000000,never_fragmented,2.806729,True,2.929971,2.747496,2.698977,2.786498,2.823578,2.882786,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,P3_0032,A
supercritical_f1.35_beta0.3_M1.0_theta0_seed1_res128_dc1.0,1.350000,0.300000,1.000000,0.000000,1,128,1.000000,0.000000,fine_sample_A,PARTIAL,2.659027,0.253671,29.135306,6.935113,0.860663,2,4.723000,0.095400,33.486862,False,0.965300,1.966667,0.000000,never_fragmented,2.707508,True,2.472545,2.773971,2.659027,2.715822,2.746698,2.754321,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,P3_0033,A
supercritical_f1.35_beta0.3_M1.0_theta0_seed2_res128_dc1.0,1.350000,0.300000,1.000000,0.000000,2,128,1.000000,0.000000,fine_sample_A,MEASURABLE,2.649166,0.202661,29.135306,6.935113,0.860663,3,4.473000,0.076500,103.704729,False,0.965300,1.966667,3.000000,persistent,2.610964,True,2.503313,2.577412,2.649166,2.596504,2.657634,2.695855,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,P3_0034,A
supercritical_f1.40_beta0.3_M1.0_theta0_seed1_res128_dc1.0,1.400000,0.300000,1.000000,0.000000,1,128,1.000000,0.000000,fine_sample_A,PARTIAL,2.692204,0.224530,26.482245,6.161159,0.845154,1,5.146000,0.083400,33.986524,False,0.957700,1.966667,0.000000,immediate_collapse,2.685474,True,2.693380,2.711873,2.692204,2.694302,2.726277,2.710867,PARTIAL,PARTIAL,PARTIAL,PARTIAL,COLLAPSED,COLLAPSED,P3_0035,A
supercritical_f1.40_beta0.3_M1.0_theta0_seed2_res128_dc1.0,1.400000,0.300000,1.000000,0.000000,2,128,1.000000,0.000000,fine_sample_A,PARTIAL,2.632795,0.226157,26.482245,6.161159,0.845154,1,4.863000,0.085900,41.565814,False,0.957700,1.966667,0.000000,immediate_collapse,2.593201,True,2.676799,2.533921,2.632795,2.652256,2.621884,2.632272,PARTIAL,PARTIAL,PARTIAL,PARTIAL,COLLAPSED,COLLAPSED,P3_0036,A
supercritical_f1.45_beta0.3_M1.0_theta0_seed1_res128_dc1.0,1.450000,0.300000,1.000000,0.000000,1,128,1.000000,0.000000,fine_sample_A,MEASURABLE,2.592291,0.212309,24.281814,5.542147,0.830455,3,5.088000,0.081900,108.027230,False,0.949500,1.966667,3.000000,persistent,2.650070,True,2.568420,2.650413,2.592291,2.597276,2.672829,2.678205,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,P3_0037,A
supercritical_f1.45_beta0.3_M1.0_theta0_seed2_res128_dc1.0,1.450000,0.300000,1.000000,0.000000,2,128,1.000000,0.000000,fine_sample_A,MEASURABLE,2.706610,0.175930,24.281814,5.542147,0.830455,3,4.486000,0.065000,101.688947,False,0.949500,1.966667,3.000000,persistent,2.665996,True,2.565750,2.684629,2.706610,2.648750,2.690419,2.697564,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,P3_0038,A
supercritical_f1.50_beta0.3_M1.0_theta0_seed1_res128_dc1.0,1.500000,0.300000,1.000000,0.000000,1,128,1.000000,0.000000,fine_sample_A,MEASURABLE,2.494537,0.249454,22.420939,5.034986,0.816497,3,4.962000,0.100000,109.473995,False,0.940800,1.966667,3.000000,persistent,2.474301,True,2.531164,2.465842,2.494537,2.453455,2.492887,2.556996,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,P3_0039,A
supercritical_f1.50_beta0.3_M1.0_theta0_seed2_res128_dc1.0,1.500000,0.300000,1.000000,0.000000,2,128,1.000000,0.000000,fine_sample_A,MEASURABLE,2.489126,0.202864,22.420939,5.034986,0.816497,4,5.441000,0.081500,96.565518,False,0.940800,1.966667,3.000000,persistent,2.518100,True,2.575139,2.555773,2.489126,2.546093,2.562101,2.568057,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,P3_0040,A
supercritical_f1.55_beta0.3_M1.0_theta0_seed1_res128_dc1.0,1.550000,0.300000,1.000000,0.000000,1,128,1.000000,0.000000,fine_sample_A,MEASURABLE,2.466535,0.205216,20.822705,4.611408,0.803219,3,5.002000,0.083200,96.859564,False,0.931700,1.966667,3.000000,persistent,2.487969,True,2.541350,2.523512,2.466535,2.541743,2.518347,2.535396,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,P3_0041,A
supercritical_f1.55_beta0.3_M1.0_theta0_seed2_res128_dc1.0,1.550000,0.300000,1.000000,0.000000,2,128,1.000000,0.000000,fine_sample_A,MEASURABLE,2.740739,0.254889,20.822705,4.611408,0.803219,3,4.951000,0.093000,97.798880,False,0.931700,1.966667,3.000000,persistent,2.762083,True,2.712456,2.784651,2.740739,2.746950,2.783059,2.822170,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,P3_0042,A
supercritical_f1.60_beta0.3_M1.0_theta0_seed1_res128_dc1.0,1.600000,0.300000,1.000000,0.000000,1,128,1.000000,0.000000,fine_sample_A,PARTIAL,2.400801,0.184862,19.432655,4.252046,0.790569,2,5.201000,0.077000,30.185807,False,0.922200,1.966667,0.000000,never_fragmented,2.358366,True,2.353418,2.398276,2.400801,2.371204,2.395548,2.439844,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,P3_0043,A
supercritical_f1.60_beta0.3_M1.0_theta0_seed2_res128_dc1.0,1.600000,0.300000,1.000000,0.000000,2,128,1.000000,0.000000,fine_sample_A,MEASURABLE,2.560219,0.209682,19.432655,4.252046,0.790569,3,4.665000,0.081900,77.209074,False,0.922200,1.966667,3.000000,persistent,2.560480,True,2.552801,2.554744,2.560219,2.580310,2.584039,2.618760,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,P3_0044,A
supercritical_f1.65_beta0.3_M1.0_theta0_seed1_res128_dc1.0,1.650000,0.300000,1.000000,0.000000,1,128,1.000000,0.000000,fine_sample_A,MEASURABLE,2.437150,0.202527,18.210960,3.943160,0.778499,4,4.870000,0.083100,112.132215,False,0.912300,1.966667,3.000000,persistent,2.477236,True,2.473414,2.506424,2.437150,2.470548,2.499285,2.515098,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,P3_0045,A
supercritical_f1.65_beta0.3_M1.0_theta0_seed2_res128_dc1.0,1.650000,0.300000,1.000000,0.000000,2,128,1.000000,0.000000,fine_sample_A,PARTIAL,2.422421,0.212204,18.210960,3.943160,0.778499,2,5.477000,0.087600,40.942412,False,0.912300,1.966667,0.000000,never_fragmented,2.470819,True,2.325571,2.485810,2.422421,2.473913,2.497742,2.547738,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,P3_0046,A
supercritical_f1.70_beta0.3_M1.0_theta0_seed1_res128_dc1.0,1.700000,0.300000,1.000000,0.000000,1,128,1.000000,0.000000,fine_sample_A,MEASURABLE,2.592918,0.222213,17.127701,3.674713,0.766965,4,4.980000,0.085700,102.645073,False,0.902000,1.966667,3.000000,persistent,2.480203,True,2.583805,2.483543,2.592918,2.461744,2.493587,2.522439,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,P3_0047,A
supercritical_f1.70_beta0.3_M1.0_theta0_seed2_res128_dc1.0,1.700000,0.300000,1.000000,0.000000,2,128,1.000000,0.000000,fine_sample_A,PARTIAL,2.413693,0.167993,17.127701,3.674713,0.766965,2,5.184000,0.069600,42.724708,False,0.902000,1.966667,0.000000,never_fragmented,2.430418,True,2.527189,2.502429,2.413693,2.455885,2.468079,2.507193,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,P3_0048,A
supercritical_f1.75_beta0.3_M1.0_theta0_seed1_res128_dc1.0,1.750000,0.300000,1.000000,0.000000,1,128,1.000000,0.000000,fine_sample_A,MEASURABLE,2.498227,0.206853,16.159891,3.439192,0.755929,3,4.926000,0.082800,106.869488,False,0.891300,1.966667,3.000000,persistent,2.467726,True,2.544041,2.506884,2.498227,2.414248,2.479292,2.526165,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,P3_0049,A
supercritical_f1.75_beta0.3_M1.0_theta0_seed2_res128_dc1.0,1.750000,0.300000,1.000000,0.000000,2,128,1.000000,0.000000,fine_sample_A,MEASURABLE,2.717180,0.246177,16.159891,3.439192,0.755929,3,5.287000,0.090600,92.951069,False,0.891300,1.966667,3.000000,persistent,2.618819,True,2.575740,2.648923,2.717180,2.575263,2.658807,2.654234,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,P3_0050,A
supercritical_f1.80_beta0.3_M1.0_theta0_seed1_res128_dc1.0,1.800000,0.300000,1.000000,0.000000,1,128,1.000000,0.000000,fine_sample_A,MEASURABLE,2.584160,0.204924,15.289531,3.230857,0.745356,3,4.575000,0.079300,111.782167,False,0.880300,1.966667,3.000000,persistent,2.501321,True,2.482880,2.480923,2.584160,2.485273,2.534779,2.535280,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,P3_0051,A
supercritical_f1.80_beta0.3_M1.0_theta0_seed2_res128_dc1.0,1.800000,0.300000,1.000000,0.000000,2,128,1.000000,0.000000,fine_sample_A,MEASURABLE,2.772400,0.234545,15.289531,3.230857,0.745356,4,5.079000,0.084600,115.898802,False,0.880300,1.966667,3.000000,persistent,2.799303,True,2.710690,2.691836,2.772400,2.690940,2.837231,2.865941,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,P3_0052,A
supercritical_f1.85_beta0.3_M1.0_theta0_seed1_res128_dc1.0,1.850000,0.300000,1.000000,0.000000,1,128,1.000000,0.000000,fine_sample_A,MEASURABLE,2.422477,0.210513,14.502293,3.045239,0.735215,3,5.163000,0.086900,97.216206,False,0.868900,1.966667,3.000000,persistent,2.412600,True,2.501436,2.369399,2.422477,2.444701,2.433457,2.458873,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,P3_0053,A
supercritical_f1.85_beta0.3_M1.0_theta0_seed2_res128_dc1.0,1.850000,0.300000,1.000000,0.000000,2,128,1.000000,0.000000,fine_sample_A,MEASURABLE,2.458583,0.179968,14.502293,3.045239,0.735215,4,5.305000,0.073200,113.627563,False,0.868900,1.966667,3.000000,persistent,2.476874,True,2.429130,2.513113,2.458583,2.425859,2.517139,2.551002,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,P3_0054,A
supercritical_f1.90_beta0.3_M1.0_theta0_seed1_res128_dc1.0,1.900000,0.300000,1.000000,0.000000,1,128,1.000000,0.000000,fine_sample_A,MEASURABLE,2.424905,0.200540,13.786606,2.878808,0.725476,4,5.182000,0.082700,116.739325,False,0.857100,1.966667,3.000000,persistent,2.414323,True,2.449923,2.420374,2.424905,2.434249,2.425737,2.488265,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,P3_0055,A
