sim_id,sim_name,grid,f,beta,M,theta,seed,classification,lambda_W,lambda_W_err,t_frag,t_radial,N_peaks,peak_significance,sigma_lw,contrast,radial_collapsed,radial_width_frac,f_transition
SC_0019,supercritical_f1.5_beta1.0_M3.0_theta0_seed1,main,1.500000,1.000000,3.000000,0.000000,1,PARTIAL,3.444385,1.033315,13.170944,2.471721,1,4.950000,0.167900,39.865573,False,0.754500,1.340000
SC_0020,supercritical_f1.5_beta1.0_M3.0_theta0_seed2,main,1.500000,1.000000,3.000000,0.000000,2,PARTIAL,2.845661,0.853698,12.372812,2.471721,3,3.853000,0.159200,37.973161,False,0.754500,1.340000
SC_0021,supercritical_f1.5_beta1.0_M3.0_theta45_seed1,main,1.500000,1.000000,3.000000,45.000000,1,MEASURABLE,1.295961,0.184545,15.569466,2.403062,6,5.046000,0.142400,86.556640,False,0.740200,1.415000
SC_0022,supercritical_f1.5_beta1.0_M3.0_theta45_seed2,main,1.500000,1.000000,3.000000,45.000000,2,PARTIAL,1.209429,0.362829,16.029127,2.403062,5,5.647000,0.160800,36.526965,False,0.740200,1.415000
SC_0023,supercritical_f1.5_beta1.0_M3.0_theta90_seed1,main,1.500000,1.000000,3.000000,90.000000,1,PARTIAL,1.032311,0.309693,18.270468,2.334403,8,5.223000,0.139400,31.152698,False,0.724700,1.490000
SC_0024,supercritical_f1.5_beta1.0_M3.0_theta90_seed2,main,1.500000,1.000000,3.000000,90.000000,2,PARTIAL,0.897697,0.269309,17.802390,2.334403,8,5.084000,0.148000,44.033216,False,0.724700,1.490000
SC_0025,supercritical_f1.5_beta3.0_M1.0_theta0_seed1,main,1.500000,3.000000,1.000000,0.000000,1,PARTIAL,4.048955,1.214686,22.812745,1.739359,1,5.003000,0.103700,41.519483,False,0.504200,1.366700
SC_0026,supercritical_f1.5_beta3.0_M1.0_theta0_seed2,main,1.500000,3.000000,1.000000,0.000000,2,PARTIAL,3.345142,1.003542,21.430339,1.739359,2,3.907000,0.095400,31.978691,False,0.504200,1.366700
SC_0027,supercritical_f1.5_beta3.0_M1.0_theta45_seed1,main,1.500000,3.000000,1.000000,45.000000,1,PARTIAL,2.038892,0.611668,24.128463,1.716473,3,5.000000,0.085500,30.853386,False,0.490900,1.391700
SC_0028,supercritical_f1.5_beta3.0_M1.0_theta45_seed2,main,1.500000,3.000000,1.000000,45.000000,2,PARTIAL,1.997955,0.599386,24.840814,1.716473,2,5.600000,0.104600,44.579225,False,0.490900,1.391700
SC_0029,supercritical_f1.5_beta3.0_M1.0_theta90_seed1,main,1.500000,3.000000,1.000000,90.000000,1,PARTIAL,1.816557,0.544967,24.613073,1.693586,5,5.076000,0.090100,42.884315,False,0.477000,1.416700
SC_0030,supercritical_f1.5_beta3.0_M1.0_theta90_seed2,main,1.500000,3.000000,1.000000,90.000000,2,PARTIAL,1.579677,0.473903,23.982501,1.693586,5,4.937000,0.099900,41.950206,False,0.477000,1.416700
SC_0031,supercritical_f1.5_beta3.0_M3.0_theta0_seed1,main,1.500000,3.000000,3.000000,0.000000,1,COLLAPSED,,,12.923880,1.739359,3,4.891000,0.177000,59.001105,False,0.504200,1.206700
SC_0032,supercritical_f1.5_beta3.0_M3.0_theta0_seed2,main,1.500000,3.000000,3.000000,0.000000,2,COLLAPSED,,,12.538797,1.739359,1,4.487000,0.179200,59.204886,False,0.504200,1.206700
SC_0033,supercritical_f1.5_beta3.0_M3.0_theta45_seed1,main,1.500000,3.000000,3.000000,45.000000,1,COLLAPSED,,,14.174923,1.716473,4,4.269000,0.175100,79.138920,False,0.490900,1.231700
SC_0034,supercritical_f1.5_beta3.0_M3.0_theta45_seed2,main,1.500000,3.000000,3.000000,45.000000,2,COLLAPSED,,,13.333666,1.716473,4,4.117000,0.150200,101.526336,False,0.490900,1.231700
SC_0035,supercritical_f1.5_beta3.0_M3.0_theta90_seed1,main,1.500000,3.000000,3.000000,90.000000,1,COLLAPSED,,,15.035915,1.693586,4,4.793000,0.171800,78.813862,False,0.477000,1.256700
SC_0036,supercritical_f1.5_beta3.0_M3.0_theta90_seed2,main,1.500000,3.000000,3.000000,90.000000,2,COLLAPSED,,,14.776877,1.693586,3,4.532000,0.175500,78.293107,False,0.477000,1.256700
SC_0037,supercritical_f2.0_beta0.3_M1.0_theta0_seed1,main,2.000000,0.300000,1.000000,0.000000,1,PARTIAL,2.243028,0.672908,13.086933,2.592725,5,5.266000,0.082200,38.738910,False,0.832600,1.966700
SC_0038,supercritical_f2.0_beta0.3_M1.0_theta0_seed2,main,2.000000,0.300000,1.000000,0.000000,2,PARTIAL,2.419213,0.725764,12.283918,2.592725,4,5.352000,0.105100,33.543940,False,0.832600,1.966700
SC_0039,supercritical_f2.0_beta0.3_M1.0_theta45_seed1,main,2.000000,0.300000,1.000000,45.000000,1,MEASURABLE,0.730526,0.061291,25.245069,2.474874,11,5.377000,0.083900,91.491515,False,0.816300,2.216700
SC_0040,supercritical_f2.0_beta0.3_M1.0_theta45_seed2,main,2.000000,0.300000,1.000000,45.000000,2,MEASURABLE,0.817310,0.056558,23.955080,2.474874,11,5.476000,0.069200,95.143208,False,0.816300,2.216700
SC_0041,supercritical_f2.0_beta0.3_M1.0_theta90_seed1,main,2.000000,0.300000,1.000000,90.000000,1,MEASURABLE,0.583883,0.045076,123.610735,2.357023,18,4.947000,0.077200,88.860300,False,0.797500,2.466700
SC_0042,supercritical_f2.0_beta0.3_M1.0_theta90_seed2,main,2.000000,0.300000,1.000000,90.000000,2,MEASURABLE,0.593013,0.051474,118.579841,2.357023,17,4.897000,0.086800,102.750917,False,0.797500,2.466700
SC_0043,supercritical_f2.0_beta0.3_M3.0_theta0_seed1,main,2.000000,0.300000,3.000000,0.000000,1,PARTIAL,1.817497,0.545249,7.347642,2.592725,6,4.413000,0.171300,31.789411,False,0.832600,1.806700
SC_0044,supercritical_f2.0_beta0.3_M3.0_theta0_seed2,main,2.000000,0.300000,3.000000,0.000000,2,PARTIAL,2.196019,0.658806,7.043283,2.592725,5,4.233000,0.162300,39.782707,False,0.832600,1.806700
SC_0045,supercritical_f2.0_beta0.3_M3.0_theta45_seed1,main,2.000000,0.300000,3.000000,45.000000,1,MEASURABLE,0.710701,0.094523,14.620614,2.474874,12,5.453000,0.133000,81.621513,False,0.816300,2.056700
SC_0046,supercritical_f2.0_beta0.3_M3.0_theta45_seed2,main,2.000000,0.300000,3.000000,45.000000,2,MEASURABLE,0.728964,0.109855,15.100452,2.474874,12,4.736000,0.150700,103.217611,False,0.816300,2.056700
SC_0047,supercritical_f2.0_beta0.3_M3.0_theta90_seed1,main,2.000000,0.300000,3.000000,90.000000,1,MEASURABLE,0.536931,0.074687,74.173280,2.357023,17,4.780000,0.139100,91.202849,False,0.797500,2.306700
SC_0048,supercritical_f2.0_beta0.3_M3.0_theta90_seed2,main,2.000000,0.300000,3.000000,90.000000,2,MEASURABLE,0.509547,0.070419,71.508672,2.357023,17,4.690000,0.138200,104.412567,False,0.797500,2.306700
SC_0049,supercritical_f2.0_beta1.0_M1.0_theta0_seed1,main,2.000000,1.000000,1.000000,0.000000,1,COLLAPSED,,,12.429431,1.272792,3,4.201000,0.153400,83.616133,False,0.305600,1.500000
SC_0050,supercritical_f2.0_beta1.0_M1.0_theta0_seed2,main,2.000000,1.000000,1.000000,0.000000,2,COLLAPSED,,,12.185349,1.272792,4,4.070000,0.145300,89.225125,False,0.305600,1.500000
SC_0051,supercritical_f2.0_beta1.0_M1.0_theta45_seed1,main,2.000000,1.000000,1.000000,45.000000,1,PARTIAL,1.464180,0.439254,14.932414,1.237437,6,4.638000,0.133300,33.319918,True,0.265300,1.575000
SC_0052,supercritical_f2.0_beta1.0_M1.0_theta45_seed2,main,2.000000,1.000000,1.000000,45.000000,2,PARTIAL,1.324120,0.397236,14.144210,1.237437,7,3.562000,0.127900,41.987854,True,0.265300,1.575000
SC_0053,supercritical_f2.0_beta1.0_M1.0_theta90_seed1,main,2.000000,1.000000,1.000000,90.000000,1,PARTIAL,0.917720,0.275316,17.174781,1.202082,10,3.892000,0.127600,31.239442,True,0.221500,1.650000
SC_0054,supercritical_f2.0_beta1.0_M1.0_theta90_seed2,main,2.000000,1.000000,1.000000,90.000000,2,PARTIAL,0.866762,0.260029,17.863854,1.202082,10,4.299000,0.139900,39.021869,True,0.221500,1.650000
SC_0055,supercritical_f2.0_beta1.0_M3.0_theta0_seed1,main,2.000000,1.000000,3.000000,0.000000,1,COLLAPSED,,,7.325331,1.272792,4,3.762000,0.223800,93.805894,False,0.305600,1.340000
SC_0056,supercritical_f2.0_beta1.0_M3.0_theta0_seed2,main,2.000000,1.000000,3.000000,0.000000,2,PARTIAL,2.482620,0.744786,7.399736,1.272792,3,4.085000,0.220300,34.839499,False,0.305600,1.340000
SC_0057,supercritical_f2.0_beta1.0_M3.0_theta45_seed1,main,2.000000,1.000000,3.000000,45.000000,1,PARTIAL,1.163080,0.348924,8.583028,1.237437,7,3.800000,0.211700,38.034649,True,0.265300,1.415000
SC_0058,supercritical_f2.0_beta1.0_M3.0_theta45_seed2,main,2.000000,1.000000,3.000000,45.000000,2,PARTIAL,1.143033,0.342910,8.638897,1.237437,7,3.894000,0.229000,30.656875,True,0.265300,1.415000
SC_0059,supercritical_f2.0_beta1.0_M3.0_theta90_seed1,main,2.000000,1.000000,3.000000,90.000000,1,PARTIAL,0.787642,0.236292,10.231636,1.202082,11,3.996000,0.209700,39.623349,True,0.221500,1.490000
SC_0060,supercritical_f2.0_beta1.0_M3.0_theta90_seed2,main,2.000000,1.000000,3.000000,90.000000,2,PARTIAL,0.682239,0.204672,10.194692,1.202082,11,3.611000,0.216600,42.663197,True,0.221500,1.490000
SC_0061,supercritical_f2.0_beta3.0_M1.0_theta0_seed1,main,2.000000,3.000000,1.000000,0.000000,1,PARTIAL,2.960580,0.888174,12.687845,0.895669,3,3.815000,0.160200,32.453777,True,0.050000,1.366700
SC_0062,supercritical_f2.0_beta3.0_M1.0_theta0_seed2,main,2.000000,3.000000,1.000000,0.000000,2,PARTIAL,2.918378,0.875513,12.816718,0.895669,3,4.138000,0.156800,40.299227,True,0.050000,1.366700
SC_0063,supercritical_f2.0_beta3.0_M1.0_theta45_seed1,main,2.000000,3.000000,1.000000,45.000000,1,PARTIAL,1.921388,0.576416,13.301373,0.883883,5,3.754000,0.154900,37.864186,True,0.050000,1.391700
SC_0064,supercritical_f2.0_beta3.0_M1.0_theta45_seed2,main,2.000000,3.000000,1.000000,45.000000,2,PARTIAL,1.888271,0.566481,13.387955,0.883883,5,3.847000,0.172500,30.643462,True,0.050000,1.391700
SC_0065,supercritical_f2.0_beta3.0_M1.0_theta90_seed1,main,2.000000,3.000000,1.000000,90.000000,1,PARTIAL,1.386012,0.415804,13.783555,0.872098,7,3.849000,0.160200,42.090293,True,0.050000,1.416700
SC_0066,supercritical_f2.0_beta3.0_M1.0_theta90_seed2,main,2.000000,3.000000,1.000000,90.000000,2,PARTIAL,1.200535,0.360160,13.733785,0.872098,6,3.464000,0.167600,33.282594,True,0.050000,1.416700
SC_0067,supercritical_f2.0_beta3.0_M3.0_theta0_seed1,main,2.000000,3.000000,3.000000,0.000000,1,PARTIAL,3.027766,0.908330,7.198794,0.895669,4,3.438000,0.221900,36.026573,True,0.050000,1.206700
SC_0068,supercritical_f2.0_beta3.0_M3.0_theta0_seed2,main,2.000000,3.000000,3.000000,0.000000,2,PARTIAL,2.319541,0.695862,7.541592,0.895669,4,3.071000,0.265400,41.681218,True,0.050000,1.206700
SC_0069,supercritical_f2.0_beta3.0_M3.0_theta45_seed1,main,2.000000,3.000000,3.000000,45.000000,1,PARTIAL,1.839538,0.551861,7.684401,0.883883,6,3.187000,0.270600,33.036537,True,0.050000,1.231700
SC_0070,supercritical_f2.0_beta3.0_M3.0_theta45_seed2,main,2.000000,3.000000,3.000000,45.000000,2,PARTIAL,1.867955,0.560386,8.038499,0.883883,6,3.338000,0.218400,35.419274,True,0.050000,1.231700
SC_0071,supercritical_f2.0_beta3.0_M3.0_theta90_seed1,main,2.000000,3.000000,3.000000,90.000000,1,PARTIAL,1.137661,0.341298,8.146096,0.872098,5,3.414000,0.218100,42.827369,True,0.050000,1.256700
SC_0072,supercritical_f2.0_beta3.0_M3.0_theta90_seed2,main,2.000000,3.000000,3.000000,90.000000,2,PARTIAL,1.639602,0.491881,8.132678,0.872098,6,3.118000,0.278600,30.297880,True,0.050000,1.256700
SC_0073,supercritical_f2.5_beta0.3_M1.0_theta0_seed1,main,2.500000,0.300000,1.000000,0.000000,1,COLLAPSED,,,8.564114,1.710933,5,4.649000,0.135900,100.220001,False,0.692500,1.966700
SC_0074,supercritical_f2.5_beta0.3_M1.0_theta0_seed2,main,2.500000,0.300000,1.000000,0.000000,2,COLLAPSED,,,8.067433,1.710933,5,3.835000,0.146400,128.913155,False,0.692500,1.966700
SC_0075,supercritical_f2.5_beta0.3_M1.0_theta45_seed1,main,2.500000,0.300000,1.000000,45.000000,1,COLLAPSED,,,16.913435,1.633163,15,4.878000,0.116200,126.163300,False,0.662600,2.216700
SC_0076,supercritical_f2.5_beta0.3_M1.0_theta45_seed2,main,2.500000,0.300000,1.000000,45.000000,2,COLLAPSED,,,17.071521,1.633163,15,4.753000,0.139100,130.682972,False,0.662600,2.216700
SC_0077,supercritical_f2.5_beta0.3_M1.0_theta90_seed1,main,2.500000,0.300000,1.000000,90.000000,1,PARTIAL,0.500000,0.150000,85.460410,1.555394,22,4.856000,0.078900,40.290729,False,0.628000,2.466700
SC_0078,supercritical_f2.5_beta0.3_M1.0_theta90_seed2,main,2.500000,0.300000,1.000000,90.000000,2,PARTIAL,0.623512,0.187054,84.357984,1.555394,22,3.968000,0.079600,44.377138,False,0.628000,2.466700
SC_0079,supercritical_f2.5_beta0.3_M3.0_theta0_seed1,main,2.500000,0.300000,3.000000,0.000000,1,COLLAPSED,,,4.745752,1.710933,7,3.319000,0.254700,120.252093,False,0.692500,1.806700
SC_0080,supercritical_f2.5_beta0.3_M3.0_theta0_seed2,main,2.500000,0.300000,3.000000,0.000000,2,COLLAPSED,,,4.809119,1.710933,6,3.885000,0.237300,117.972538,False,0.692500,1.806700
SC_0081,supercritical_f2.5_beta0.3_M3.0_theta45_seed1,main,2.500000,0.300000,3.000000,45.000000,1,COLLAPSED,,,9.761146,1.633163,15,3.751000,0.233600,108.550191,False,0.662600,2.056700
SC_0082,supercritical_f2.5_beta0.3_M3.0_theta45_seed2,main,2.500000,0.300000,3.000000,45.000000,2,COLLAPSED,,,9.487147,1.633163,16,4.171000,0.214100,106.445378,False,0.662600,2.056700
SC_0083,supercritical_f2.5_beta0.3_M3.0_theta90_seed1,main,2.500000,0.300000,3.000000,90.000000,1,PARTIAL,0.500000,0.150000,47.439161,1.555394,23,4.399000,0.164500,43.985919,False,0.628000,2.306700
SC_0084,supercritical_f2.5_beta0.3_M3.0_theta90_seed2,main,2.500000,0.300000,3.000000,90.000000,2,PARTIAL,0.548329,0.164499,50.473918,1.555394,22,4.250000,0.173100,43.918429,False,0.628000,2.306700
SC_0085,supercritical_f2.5_beta1.0_M1.0_theta0_seed1,main,2.500000,1.000000,1.000000,0.000000,1,PARTIAL,3.001570,0.900471,8.450940,0.839913,4,3.036000,0.247300,35.634941,True,0.050000,1.500000
SC_0086,supercritical_f2.5_beta1.0_M1.0_theta0_seed2,main,2.500000,1.000000,1.000000,0.000000,2,PARTIAL,2.404227,0.721268,8.493527,0.839913,5,3.159000,0.237800,42.808811,True,0.050000,1.500000
SC_0087,supercritical_f2.5_beta1.0_M1.0_theta45_seed1,main,2.500000,1.000000,1.000000,45.000000,1,PARTIAL,1.267259,0.380178,9.962422,0.816582,9,3.094000,0.186300,32.143179,True,0.050000,1.575000
SC_0088,supercritical_f2.5_beta1.0_M1.0_theta45_seed2,main,2.500000,1.000000,1.000000,45.000000,2,PARTIAL,1.127926,0.338378,9.628223,0.816582,9,3.282000,0.222100,38.008635,True,0.050000,1.575000
SC_0089,supercritical_f2.5_beta1.0_M1.0_theta90_seed1,main,2.500000,1.000000,1.000000,90.000000,1,PARTIAL,1.202101,0.360630,12.418112,0.793251,13,2.953000,0.179700,37.902641,True,0.050000,1.650000
SC_0090,supercritical_f2.5_beta1.0_M1.0_theta90_seed2,main,2.500000,1.000000,1.000000,90.000000,2,PARTIAL,1.029878,0.308964,11.868914,0.793251,11,3.156000,0.244600,42.338609,True,0.050000,1.650000
SC_0091,supercritical_f2.5_beta1.0_M3.0_theta0_seed1,main,2.500000,1.000000,3.000000,0.000000,1,PARTIAL,2.347504,0.776789,4.932641,0.839913,4,2.779000,0.330900,36.797441,True,0.050000,1.340000
SC_0092,supercritical_f2.5_beta1.0_M3.0_theta0_seed2,main,2.500000,1.000000,3.000000,0.000000,2,PARTIAL,2.279373,0.683812,5.085920,0.839913,6,2.381000,0.283900,34.384592,True,0.050000,1.340000
SC_0093,supercritical_f2.5_beta1.0_M3.0_theta45_seed1,main,2.500000,1.000000,3.000000,45.000000,1,PARTIAL,1.232771,0.393993,5.567498,0.816582,10,3.185000,0.319600,33.693263,True,0.050000,1.415000
SC_0094,supercritical_f2.5_beta1.0_M3.0_theta45_seed2,main,2.500000,1.000000,3.000000,45.000000,2,PARTIAL,1.037122,0.311137,5.695879,0.816582,10,2.972000,0.275700,31.837897,True,0.050000,1.415000
SC_0095,supercritical_f2.5_beta1.0_M3.0_theta90_seed1,main,2.500000,1.000000,3.000000,90.000000,1,PARTIAL,1.015627,0.309462,6.827511,0.793251,11,2.913000,0.304700,34.610975,True,0.050000,1.490000
SC_0096,supercritical_f2.5_beta1.0_M3.0_theta90_seed2,main,2.500000,1.000000,3.000000,90.000000,2,PARTIAL,0.735013,0.220504,6.901330,0.793251,12,3.379000,0.296800,41.943383,True,0.050000,1.490000
SC_0097,supercritical_f2.5_beta3.0_M1.0_theta0_seed1,main,2.500000,3.000000,1.000000,0.000000,1,PARTIAL,2.759546,0.827864,8.543584,0.591050,4,2.833000,0.266600,35.816841,True,0.050000,1.366700
SC_0098,supercritical_f2.5_beta3.0_M1.0_theta0_seed2,main,2.500000,3.000000,1.000000,0.000000,2,PARTIAL,2.679456,0.803837,8.809072,0.591050,5,2.434000,0.220400,41.861341,True,0.050000,1.366700
SC_0099,supercritical_f2.5_beta3.0_M1.0_theta45_seed1,main,2.500000,3.000000,1.000000,45.000000,1,PARTIAL,2.036515,0.610954,8.628117,0.583273,7,3.138000,0.263400,37.203955,True,0.050000,1.391700
SC_0100,supercritical_f2.5_beta3.0_M1.0_theta45_seed2,main,2.500000,3.000000,1.000000,45.000000,2,PARTIAL,1.713307,0.513992,8.827073,0.583273,6,2.926000,0.218800,41.788957,True,0.050000,1.391700
SC_0101,supercritical_f2.5_beta3.0_M1.0_theta90_seed1,main,2.500000,3.000000,1.000000,90.000000,1,PARTIAL,1.787197,0.536159,9.197686,0.575496,6,2.767000,0.256300,32.061416,True,0.050000,1.416700
SC_0102,supercritical_f2.5_beta3.0_M1.0_theta90_seed2,main,2.500000,3.000000,1.000000,90.000000,2,PARTIAL,1.293402,0.388021,9.297131,0.575496,7,3.232000,0.248000,41.815203,True,0.050000,1.416700
SC_0103,supercritical_f2.5_beta3.0_M3.0_theta0_seed1,main,2.500000,3.000000,3.000000,0.000000,1,PARTIAL,2.401272,0.777532,4.693044,0.591050,4,2.005000,0.323800,33.848420,True,0.050000,1.206700
SC_0104,supercritical_f2.5_beta3.0_M3.0_theta0_seed2,main,2.500000,3.000000,3.000000,0.000000,2,PARTIAL,2.267937,0.792417,4.881334,0.591050,5,2.412000,0.349400,32.841372,True,0.050000,1.206700
SC_0105,supercritical_f2.5_beta3.0_M3.0_theta45_seed1,main,2.500000,3.000000,3.000000,45.000000,1,PARTIAL,1.663724,0.544870,5.363153,0.583273,8,2.740000,0.327500,40.891908,True,0.050000,1.231700
SC_0106,supercritical_f2.5_beta3.0_M3.0_theta45_seed2,main,2.500000,3.000000,3.000000,45.000000,2,PARTIAL,1.666677,0.500003,5.018124,0.583273,6,2.594000,0.293500,39.982022,True,0.050000,1.231700
SC_0107,supercritical_f2.5_beta3.0_M3.0_theta90_seed1,main,2.500000,3.000000,3.000000,90.000000,1,PARTIAL,1.415187,0.494325,5.288526,0.575496,7,2.799000,0.349300,32.743289,True,0.050000,1.256700
SC_0108,supercritical_f2.5_beta3.0_M3.0_theta90_seed2,main,2.500000,3.000000,3.000000,90.000000,2,PARTIAL,1.421174,0.508923,5.350394,0.575496,6,2.464000,0.358100,31.261002,True,0.050000,1.256700
SC_0109,supercritical_f3.0_beta0.3_M1.0_theta0_seed1,main,3.000000,0.300000,1.000000,0.000000,1,PARTIAL,2.512430,0.753729,6.089889,1.258747,5,2.759000,0.238900,33.267224,False,0.526600,1.966700
SC_0110,supercritical_f3.0_beta0.3_M1.0_theta0_seed2,main,3.000000,0.300000,1.000000,0.000000,2,COLLAPSED,,,6.351612,1.258747,7,2.490000,0.260800,175.569705,False,0.526600,1.966700
SC_0111,supercritical_f3.0_beta0.3_M1.0_theta45_seed1,main,3.000000,0.300000,1.000000,45.000000,1,PARTIAL,0.699721,0.209916,12.977147,1.201531,18,3.797000,0.176500,42.160606,False,0.480500,2.216700
SC_0112,supercritical_f3.0_beta0.3_M1.0_theta45_seed2,main,3.000000,0.300000,1.000000,45.000000,2,PARTIAL,0.606642,0.181993,12.600926,1.201531,18,3.420000,0.183400,32.949530,False,0.480500,2.216700
SC_0113,supercritical_f3.0_beta0.3_M1.0_theta90_seed1,main,3.000000,0.300000,1.000000,90.000000,1,COLLAPSED,,,62.645018,1.144315,25,3.800000,0.153900,203.122940,False,0.427200,2.466700
SC_0114,supercritical_f3.0_beta0.3_M1.0_theta90_seed2,main,3.000000,0.300000,1.000000,90.000000,2,COLLAPSED,,,63.329770,1.144315,27,3.051000,0.154100,128.522782,False,0.427200,2.466700
SC_0115,supercritical_f3.0_beta0.3_M3.0_theta0_seed1,main,3.000000,0.300000,3.000000,0.000000,1,COLLAPSED,,,3.595489,1.258747,5,2.406000,0.326500,141.441314,False,0.526600,1.806700
SC_0116,supercritical_f3.0_beta0.3_M3.0_theta0_seed2,main,3.000000,0.300000,3.000000,0.000000,2,COLLAPSED,,,3.672670,1.258747,7,3.092000,0.318300,140.851971,False,0.526600,1.806700
SC_0117,supercritical_f3.0_beta0.3_M3.0_theta45_seed1,main,3.000000,0.300000,3.000000,45.000000,1,COLLAPSED,,,7.620358,1.201531,17,2.410000,0.287300,142.982511,False,0.480500,2.056700
SC_0118,supercritical_f3.0_beta0.3_M3.0_theta45_seed2,main,3.000000,0.300000,3.000000,45.000000,2,COLLAPSED,,,6.768940,1.201531,18,3.012000,0.274400,123.630354,False,0.480500,2.056700
SC_0119,supercritical_f3.0_beta0.3_M3.0_theta90_seed1,main,3.000000,0.300000,3.000000,90.000000,1,COLLAPSED,,,35.677548,1.144315,25,3.900000,0.249100,176.544188,False,0.427200,2.306700
SC_0120,supercritical_f3.0_beta0.3_M3.0_theta90_seed2,main,3.000000,0.300000,3.000000,90.000000,2,PARTIAL,0.500000,0.150000,35.619311,1.144315,27,3.904000,0.247000,41.807083,False,0.427200,2.306700
SC_0121,supercritical_f3.0_beta1.0_M1.0_theta0_seed1,main,3.000000,1.000000,1.000000,0.000000,1,PARTIAL,3.161788,0.966559,6.067733,0.617930,5,2.020000,0.305700,38.308638,True,0.050000,1.500000
