f,beta,theta_deg,delta_v_cs,M_turb_achieved,seed,fragmented,morphology,lambda_W,lambda_W_err,t_frag_tJ,beading_window_tJ,n_peaks,hgbs_match
1.0,0.3,90,3.0,1.3047,2,False,SUPPRESSED,,,,,0,False
1.0,0.3,90,3.0,1.3047,3,False,SUPPRESSED,,,,,0,False
1.0,0.3,90,3.0,1.3047,4,False,SUPPRESSED,,,,,0,False
1.0,0.3,90,3.0,1.3047,5,False,SUPPRESSED,,,,,0,False
1.0,0.5,0,1.0,0.53,1,False,SUPPRESSED,,,,,0,False
1.0,0.5,0,1.0,0.53,2,False,SUPPRESSED,,,,,0,False
1.0,0.5,0,1.0,0.53,3,False,SUPPRESSED,,,,,0,False
1.0,0.5,0,1.0,0.53,4,False,SUPPRESSED,,,,,0,False
1.0,0.5,0,1.0,0.53,5,False,SUPPRESSED,,,,,0,False
1.0,0.5,0,1.5,0.739,1,False,SUPPRESSED,,,,,0,False
1.0,0.5,0,1.5,0.739,2,False,SUPPRESSED,,,,,0,False
1.0,0.5,0,1.5,0.739,3,False,SUPPRESSED,,,,,0,False
1.0,0.5,0,1.5,0.739,4,False,SUPPRESSED,,,,,0,False
1.0,0.5,0,1.5,0.739,5,False,SUPPRESSED,,,,,0,False
1.0,0.5,0,2.0,0.9357,1,False,SUPPRESSED,,,,,0,False
1.0,0.5,0,2.0,0.9357,2,False,SUPPRESSED,,,,,0,False
1.0,0.5,0,2.0,0.9357,3,False,SUPPRESSED,,,,,0,False
1.0,0.5,0,2.0,0.9357,4,False,SUPPRESSED,,,,,0,False
1.0,0.5,0,2.0,0.9357,5,False,SUPPRESSED,,,,,0,False
1.0,0.5,0,2.5,1.1235,1,False,SUPPRESSED,,,,,0,False
1.0,0.5,0,2.5,1.1235,2,False,SUPPRESSED,,,,,0,False
1.0,0.5,0,2.5,1.1235,3,False,SUPPRESSED,,,,,0,False
1.0,0.5,0,2.5,1.1235,4,False,SUPPRESSED,,,,,0,False
1.0,0.5,0,2.5,1.1235,5,False,SUPPRESSED,,,,,0,False
1.0,0.5,0,3.0,1.3047,1,False,SUPPRESSED,,,,,0,False
1.0,0.5,0,3.0,1.3047,2,False,SUPPRESSED,,,,,0,False
1.0,0.5,0,3.0,1.3047,3,False,SUPPRESSED,,,,,0,False
1.0,0.5,0,3.0,1.3047,4,False,SUPPRESSED,,,,,0,False
1.0,0.5,0,3.0,1.3047,5,False,SUPPRESSED,,,,,0,False
1.0,0.5,90,1.0,0.53,1,False,SUPPRESSED,,,,,0,False
1.0,0.5,90,1.0,0.53,2,False,SUPPRESSED,,,,,0,False
1.0,0.5,90,1.0,0.53,3,False,SUPPRESSED,,,,,0,False
1.0,0.5,90,1.0,0.53,4,False,SUPPRESSED,,,,,0,False
1.0,0.5,90,1.0,0.53,5,False,SUPPRESSED,,,,,0,False
1.0,0.5,90,1.5,0.739,1,False,SUPPRESSED,,,,,0,False
1.0,0.5,90,1.5,0.739,2,False,SUPPRESSED,,,,,0,False
1.0,0.5,90,1.5,0.739,3,False,SUPPRESSED,,,,,0,False
1.0,0.5,90,1.5,0.739,4,False,SUPPRESSED,,,,,0,False
1.0,0.5,90,1.5,0.739,5,False,SUPPRESSED,,,,,0,False
1.0,0.5,90,2.0,0.9357,1,False,SUPPRESSED,,,,,0,False
1.0,0.5,90,2.0,0.9357,2,False,SUPPRESSED,,,,,0,False
1.0,0.5,90,2.0,0.9357,3,False,SUPPRESSED,,,,,0,False
1.0,0.5,90,2.0,0.9357,4,False,SUPPRESSED,,,,,0,False
1.0,0.5,90,2.0,0.9357,5,False,SUPPRESSED,,,,,0,False
1.0,0.5,90,2.5,1.1235,1,False,SUPPRESSED,,,,,0,False
1.0,0.5,90,2.5,1.1235,2,False,SUPPRESSED,,,,,0,False
1.0,0.5,90,2.5,1.1235,3,False,SUPPRESSED,,,,,0,False
1.0,0.5,90,2.5,1.1235,4,False,SUPPRESSED,,,,,0,False
1.0,0.5,90,2.5,1.1235,5,False,SUPPRESSED,,,,,0,False
1.0,0.5,90,3.0,1.3047,1,False,SUPPRESSED,,,,,0,False
1.0,0.5,90,3.0,1.3047,2,False,SUPPRESSED,,,,,0,False
1.0,0.5,90,3.0,1.3047,3,False,SUPPRESSED,,,,,0,False
1.0,0.5,90,3.0,1.3047,4,False,SUPPRESSED,,,,,0,False
1.0,0.5,90,3.0,1.3047,5,False,SUPPRESSED,,,,,0,False
1.0,1.0,0,1.0,0.53,1,False,SUPPRESSED,,,,,0,False
1.0,1.0,0,1.0,0.53,2,False,SUPPRESSED,,,,,0,False
1.0,1.0,0,1.0,0.53,3,False,SUPPRESSED,,,,,0,False
1.0,1.0,0,1.0,0.53,4,False,SUPPRESSED,,,,,0,False
1.0,1.0,0,1.0,0.53,5,False,SUPPRESSED,,,,,0,False
1.0,1.0,0,1.5,0.739,1,False,SUPPRESSED,,,,,0,False
1.0,1.0,0,1.5,0.739,2,False,SUPPRESSED,,,,,0,False
1.0,1.0,0,1.5,0.739,3,False,SUPPRESSED,,,,,0,False
1.0,1.0,0,1.5,0.739,4,False,SUPPRESSED,,,,,0,False
1.0,1.0,0,1.5,0.739,5,False,SUPPRESSED,,,,,0,False
1.0,1.0,0,2.0,0.9357,1,False,SUPPRESSED,,,,,0,False
1.0,1.0,0,2.0,0.9357,2,False,SUPPRESSED,,,,,0,False
1.0,1.0,0,2.0,0.9357,3,False,SUPPRESSED,,,,,0,False
1.0,1.0,0,2.0,0.9357,4,False,SUPPRESSED,,,,,0,False
1.0,1.0,0,2.0,0.9357,5,False,SUPPRESSED,,,,,0,False
1.0,1.0,0,2.5,1.1235,1,False,SUPPRESSED,,,,,0,False
1.0,1.0,0,2.5,1.1235,2,False,SUPPRESSED,,,,,0,False
1.0,1.0,0,2.5,1.1235,3,False,SUPPRESSED,,,,,0,False
1.0,1.0,0,2.5,1.1235,4,False,SUPPRESSED,,,,,0,False
1.0,1.0,0,2.5,1.1235,5,False,SUPPRESSED,,,,,0,False
1.0,1.0,0,3.0,1.3047,1,False,SUPPRESSED,,,,,0,False
1.0,1.0,0,3.0,1.3047,2,False,SUPPRESSED,,,,,0,False
1.0,1.0,0,3.0,1.3047,3,False,SUPPRESSED,,,,,0,False
1.0,1.0,0,3.0,1.3047,4,False,SUPPRESSED,,,,,0,False
1.0,1.0,0,3.0,1.3047,5,False,SUPPRESSED,,,,,0,False
1.0,1.0,90,1.0,0.53,1,False,SUPPRESSED,,,,,0,False
1.0,1.0,90,1.0,0.53,2,False,SUPPRESSED,,,,,0,False
1.0,1.0,90,1.0,0.53,3,False,SUPPRESSED,,,,,0,False
1.0,1.0,90,1.0,0.53,4,False,SUPPRESSED,,,,,0,False
1.0,1.0,90,1.0,0.53,5,False,SUPPRESSED,,,,,0,False
1.0,1.0,90,1.5,0.739,1,False,SUPPRESSED,,,,,0,False
1.0,1.0,90,1.5,0.739,2,False,SUPPRESSED,,,,,0,False
1.0,1.0,90,1.5,0.739,3,False,SUPPRESSED,,,,,0,False
1.0,1.0,90,1.5,0.739,4,False,SUPPRESSED,,,,,0,False
1.0,1.0,90,1.5,0.739,5,False,SUPPRESSED,,,,,0,False
1.0,1.0,90,2.0,0.9357,1,False,SUPPRESSED,,,,,0,False
1.0,1.0,90,2.0,0.9357,2,False,SUPPRESSED,,,,,0,False
1.0,1.0,90,2.0,0.9357,3,False,SUPPRESSED,,,,,0,False
1.0,1.0,90,2.0,0.9357,4,False,SUPPRESSED,,,,,0,False
1.0,1.0,90,2.0,0.9357,5,False,SUPPRESSED,,,,,0,False
1.0,1.0,90,2.5,1.1235,1,False,SUPPRESSED,,,,,0,False
1.0,1.0,90,2.5,1.1235,2,False,SUPPRESSED,,,,,0,False
1.0,1.0,90,2.5,1.1235,3,False,SUPPRESSED,,,,,0,False
1.0,1.0,90,2.5,1.1235,4,False,SUPPRESSED,,,,,0,False
1.0,1.0,90,2.5,1.1235,5,False,SUPPRESSED,,,,,0,False
1.0,1.0,90,3.0,1.3047,1,False,SUPPRESSED,,,,,0,False
1.0,1.0,90,3.0,1.3047,2,False,SUPPRESSED,,,,,0,False
1.0,1.0,90,3.0,1.3047,3,False,SUPPRESSED,,,,,0,False
1.0,1.0,90,3.0,1.3047,4,False,SUPPRESSED,,,,,0,False
1.0,1.0,90,3.0,1.3047,5,False,SUPPRESSED,,,,,0,False
1.0,2.0,0,1.0,0.53,1,False,SUPPRESSED,,,,,0,False
1.0,2.0,0,1.0,0.53,2,False,SUPPRESSED,,,,,0,False
1.0,2.0,0,1.0,0.53,3,False,SUPPRESSED,,,,,0,False
1.0,2.0,0,1.0,0.53,4,False,SUPPRESSED,,,,,0,False
1.0,2.0,0,1.0,0.53,5,False,SUPPRESSED,,,,,0,False
1.0,2.0,0,1.5,0.739,1,False,SUPPRESSED,,,,,0,False
1.0,2.0,0,1.5,0.739,2,False,SUPPRESSED,,,,,0,False
1.0,2.0,0,1.5,0.739,3,False,SUPPRESSED,,,,,0,False
1.0,2.0,0,1.5,0.739,4,False,SUPPRESSED,,,,,0,False
1.0,2.0,0,1.5,0.739,5,False,SUPPRESSED,,,,,0,False
1.0,2.0,0,2.0,0.9357,1,False,SUPPRESSED,,,,,0,False
1.0,2.0,0,2.0,0.9357,2,False,SUPPRESSED,,,,,0,False
1.0,2.0,0,2.0,0.9357,3,False,SUPPRESSED,,,,,0,False
1.0,2.0,0,2.0,0.9357,4,False,SUPPRESSED,,,,,0,False
1.0,2.0,0,2.0,0.9357,5,False,SUPPRESSED,,,,,0,False
1.0,2.0,0,2.5,1.1235,1,False,SUPPRESSED,,,,,0,False
1.0,2.0,0,2.5,1.1235,2,False,SUPPRESSED,,,,,0,False
1.0,2.0,0,2.5,1.1235,3,False,SUPPRESSED,,,,,0,False
1.0,2.0,0,2.5,1.1235,4,False,SUPPRESSED,,,,,0,False
1.0,2.0,0,2.5,1.1235,5,False,SUPPRESSED,,,,,0,False
1.0,2.0,0,3.0,1.3047,1,False,SUPPRESSED,,,,,0,False
1.0,2.0,0,3.0,1.3047,2,False,SUPPRESSED,,,,,0,False
1.0,2.0,0,3.0,1.3047,3,False,SUPPRESSED,,,,,0,False
1.0,2.0,0,3.0,1.3047,4,False,SUPPRESSED,,,,,0,False
1.0,2.0,0,3.0,1.3047,5,False,SUPPRESSED,,,,,0,False
1.0,2.0,90,1.0,0.53,1,False,SUPPRESSED,,,,,0,False
1.0,2.0,90,1.0,0.53,2,False,SUPPRESSED,,,,,0,False
1.0,2.0,90,1.0,0.53,3,False,SUPPRESSED,,,,,0,False
1.0,2.0,90,1.0,0.53,4,False,SUPPRESSED,,,,,0,False
1.0,2.0,90,1.0,0.53,5,False,SUPPRESSED,,,,,0,False
1.0,2.0,90,1.5,0.739,1,False,SUPPRESSED,,,,,0,False
1.0,2.0,90,1.5,0.739,2,False,SUPPRESSED,,,,,0,False
1.0,2.0,90,1.5,0.739,3,False,SUPPRESSED,,,,,0,False
1.0,2.0,90,1.5,0.739,4,False,SUPPRESSED,,,,,0,False
1.0,2.0,90,1.5,0.739,5,False,SUPPRESSED,,,,,0,False
1.0,2.0,90,2.0,0.9357,1,False,SUPPRESSED,,,,,0,False
1.0,2.0,90,2.0,0.9357,2,False,SUPPRESSED,,,,,0,False
1.0,2.0,90,2.0,0.9357,3,False,SUPPRESSED,,,,,0,False
1.0,2.0,90,2.0,0.9357,4,False,SUPPRESSED,,,,,0,False
1.0,2.0,90,2.0,0.9357,5,False,SUPPRESSED,,,,,0,False
1.0,2.0,90,2.5,1.1235,1,False,SUPPRESSED,,,,,0,False
1.0,2.0,90,2.5,1.1235,2,False,SUPPRESSED,,,,,0,False
1.0,2.0,90,2.5,1.1235,3,False,SUPPRESSED,,,,,0,False
1.0,2.0,90,2.5,1.1235,4,False,SUPPRESSED,,,,,0,False
1.0,2.0,90,2.5,1.1235,5,False,SUPPRESSED,,,,,0,False
1.0,2.0,90,3.0,1.3047,1,False,SUPPRESSED,,,,,0,False
1.0,2.0,90,3.0,1.3047,2,False,SUPPRESSED,,,,,0,False
1.0,2.0,90,3.0,1.3047,3,False,SUPPRESSED,,,,,0,False
1.0,2.0,90,3.0,1.3047,4,False,SUPPRESSED,,,,,0,False
1.0,2.0,90,3.0,1.3047,5,True,PARTIAL,1.175,0.1061,1.2595,0.2648,3,False
1.2,0.3,0,1.0,0.53,1,False,SUPPRESSED,,,,,0,False
1.2,0.3,0,1.0,0.53,2,False,SUPPRESSED,,,,,0,False
1.2,0.3,0,1.0,0.53,3,False,SUPPRESSED,,,,,0,False
1.2,0.3,0,1.0,0.53,4,False,SUPPRESSED,,,,,0,False
1.2,0.3,0,1.0,0.53,5,False,SUPPRESSED,,,,,0,False
1.2,0.3,0,1.5,0.739,1,False,SUPPRESSED,,,,,0,False
1.2,0.3,0,1.5,0.739,2,False,SUPPRESSED,,,,,0,False
1.2,0.3,0,1.5,0.739,3,False,SUPPRESSED,,,,,0,False
1.2,0.3,0,1.5,0.739,4,False,SUPPRESSED,,,,,0,False
1.2,0.3,0,1.5,0.739,5,False,SUPPRESSED,,,,,0,False
1.2,0.3,0,2.0,0.9357,1,False,SUPPRESSED,,,,,0,False
1.2,0.3,0,2.0,0.9357,2,False,SUPPRESSED,,,,,0,False
1.2,0.3,0,2.0,0.9357,3,False,SUPPRESSED,,,,,0,False
1.2,0.3,0,2.0,0.9357,4,False,SUPPRESSED,,,,,0,False
1.2,0.3,0,2.0,0.9357,5,False,SUPPRESSED,,,,,0,False
1.2,0.3,0,2.5,1.1235,1,False,SUPPRESSED,,,,,0,False
1.2,0.3,0,2.5,1.1235,2,False,SUPPRESSED,,,,,0,False
1.2,0.3,0,2.5,1.1235,3,False,SUPPRESSED,,,,,0,False
1.2,0.3,0,2.5,1.1235,4,False,SUPPRESSED,,,,,0,False
1.2,0.3,0,2.5,1.1235,5,False,SUPPRESSED,,,,,0,False
1.2,0.3,0,3.0,1.3047,1,False,SUPPRESSED,,,,,0,False
1.2,0.3,0,3.0,1.3047,2,False,SUPPRESSED,,,,,0,False
1.2,0.3,0,3.0,1.3047,3,False,SUPPRESSED,,,,,0,False
1.2,0.3,0,3.0,1.3047,4,False,SUPPRESSED,,,,,0,False
1.2,0.3,0,3.0,1.3047,5,False,SUPPRESSED,,,,,0,False
1.2,0.3,90,1.0,0.53,1,False,SUPPRESSED,,,,,0,False
1.2,0.3,90,1.0,0.53,2,False,SUPPRESSED,,,,,0,False
1.2,0.3,90,1.0,0.53,3,False,SUPPRESSED,,,,,0,False
1.2,0.3,90,1.0,0.53,4,False,SUPPRESSED,,,,,0,False
1.2,0.3,90,1.0,0.53,5,False,SUPPRESSED,,,,,0,False
1.2,0.3,90,1.5,0.739,1,False,SUPPRESSED,,,,,0,False
1.2,0.3,90,1.5,0.739,2,False,SUPPRESSED,,,,,0,False
1.2,0.3,90,1.5,0.739,3,False,SUPPRESSED,,,,,0,False
1.2,0.3,90,1.5,0.739,4,False,SUPPRESSED,,,,,0,False
1.2,0.3,90,1.5,0.739,5,False,SUPPRESSED,,,,,0,False
1.2,0.3,90,2.0,0.9357,1,False,SUPPRESSED,,,,,0,False
1.2,0.3,90,2.0,0.9357,2,False,SUPPRESSED,,,,,0,False
1.2,0.3,90,2.0,0.9357,3,False,SUPPRESSED,,,,,0,False
1.2,0.3,90,2.0,0.9357,4,False,SUPPRESSED,,,,,0,False
1.2,0.3,90,2.0,0.9357,5,False,SUPPRESSED,,,,,0,False
1.2,0.3,90,2.5,1.1235,1,False,SUPPRESSED,,,,,0,False
1.2,0.3,90,2.5,1.1235,2,False,SUPPRESSED,,,,,0,False
1.2,0.3,90,2.5,1.1235,3,False,SUPPRESSED,,,,,0,False
1.2,0.3,90,2.5,1.1235,4,False,SUPPRESSED,,,,,0,False
1.2,0.3,90,2.5,1.1235,5,False,SUPPRESSED,,,,,0,False
1.2,0.3,90,3.0,1.3047,1,False,SUPPRESSED,,,,,0,False
1.2,0.3,90,3.0,1.3047,2,False,SUPPRESSED,,,,,0,False
1.2,0.3,90,3.0,1.3047,3,True,PARTIAL,1.4235,0.15,1.3112,0.2921,2,False
1.2,0.3,90,3.0,1.3047,4,False,SUPPRESSED,,,,,0,False
1.2,0.3,90,3.0,1.3047,5,False,SUPPRESSED,,,,,0,False
1.2,0.5,0,1.0,0.53,1,False,SUPPRESSED,,,,,0,False
1.2,0.5,0,1.0,0.53,2,False,SUPPRESSED,,,,,0,False
1.2,0.5,0,1.0,0.53,3,False,SUPPRESSED,,,,,0,False
1.2,0.5,0,1.0,0.53,4,False,SUPPRESSED,,,,,0,False
1.2,0.5,0,1.0,0.53,5,False,SUPPRESSED,,,,,0,False
1.2,0.5,0,1.5,0.739,1,False,SUPPRESSED,,,,,0,False
1.2,0.5,0,1.5,0.739,2,False,SUPPRESSED,,,,,0,False
1.2,0.5,0,1.5,0.739,3,False,SUPPRESSED,,,,,0,False
1.2,0.5,0,1.5,0.739,4,False,SUPPRESSED,,,,,0,False
1.2,0.5,0,1.5,0.739,5,False,SUPPRESSED,,,,,0,False
1.2,0.5,0,2.0,0.9357,1,False,SUPPRESSED,,,,,0,False
1.2,0.5,0,2.0,0.9357,2,False,SUPPRESSED,,,,,0,False
1.2,0.5,0,2.0,0.9357,3,False,SUPPRESSED,,,,,0,False
1.2,0.5,0,2.0,0.9357,4,False,SUPPRESSED,,,,,0,False
1.2,0.5,0,2.0,0.9357,5,False,SUPPRESSED,,,,,0,False
1.2,0.5,0,2.5,1.1235,1,False,SUPPRESSED,,,,,0,False
1.2,0.5,0,2.5,1.1235,2,False,SUPPRESSED,,,,,0,False
1.2,0.5,0,2.5,1.1235,3,False,SUPPRESSED,,,,,0,False
1.2,0.5,0,2.5,1.1235,4,False,SUPPRESSED,,,,,0,False
1.2,0.5,0,2.5,1.1235,5,False,SUPPRESSED,,,,,0,False
1.2,0.5,0,3.0,1.3047,1,False,SUPPRESSED,,,,,0,False
1.2,0.5,0,3.0,1.3047,2,False,SUPPRESSED,,,,,0,False
1.2,0.5,0,3.0,1.3047,3,False,SUPPRESSED,,,,,0,False
1.2,0.5,0,3.0,1.3047,4,False,SUPPRESSED,,,,,0,False
1.2,0.5,0,3.0,1.3047,5,False,SUPPRESSED,,,,,0,False
1.2,0.5,90,1.0,0.53,1,False,SUPPRESSED,,,,,0,False
1.2,0.5,90,1.0,0.53,2,False,SUPPRESSED,,,,,0,False
1.2,0.5,90,1.0,0.53,3,False,SUPPRESSED,,,,,0,False
1.2,0.5,90,1.0,0.53,4,False,SUPPRESSED,,,,,0,False
1.2,0.5,90,1.0,0.53,5,False,SUPPRESSED,,,,,0,False
1.2,0.5,90,1.5,0.739,1,False,SUPPRESSED,,,,,0,False
1.2,0.5,90,1.5,0.739,2,False,SUPPRESSED,,,,,0,False
1.2,0.5,90,1.5,0.739,3,False,SUPPRESSED,,,,,0,False
1.2,0.5,90,1.5,0.739,4,False,SUPPRESSED,,,,,0,False
1.2,0.5,90,1.5,0.739,5,False,SUPPRESSED,,,,,0,False
1.2,0.5,90,2.0,0.9357,1,False,SUPPRESSED,,,,,0,False
1.2,0.5,90,2.0,0.9357,2,False,SUPPRESSED,,,,,0,False
1.2,0.5,90,2.0,0.9357,3,False,SUPPRESSED,,,,,0,False
1.2,0.5,90,2.0,0.9357,4,True,PARTIAL,1.1425,0.15,1.1091,0.2683,2,False
1.2,0.5,90,2.0,0.9357,5,False,SUPPRESSED,,,,,0,False
1.2,0.5,90,2.5,1.1235,1,False,SUPPRESSED,,,,,0,False
1.2,0.5,90,2.5,1.1235,2,False,SUPPRESSED,,,,,0,False
1.2,0.5,90,2.5,1.1235,3,True,PARTIAL,1.2246,0.15,1.1604,0.3716,2,False
1.2,0.5,90,2.5,1.1235,4,False,SUPPRESSED,,,,,0,False
1.2,0.5,90,2.5,1.1235,5,True,PARTIAL,1.4002,0.0671,1.2571,0.2493,4,False
1.2,0.5,90,3.0,1.3047,1,True,PARTIAL,1.2291,0.075,1.3117,0.2317,4,False
1.2,0.5,90,3.0,1.3047,2,True,PARTIAL,1.3464,0.15,1.3819,0.2296,2,False
1.2,0.5,90,3.0,1.3047,3,False,SUPPRESSED,,,,,0,False
1.2,0.5,90,3.0,1.3047,4,False,SUPPRESSED,,,,,0,False
1.2,0.5,90,3.0,1.3047,5,True,PARTIAL,1.284,0.0866,1.0027,0.2547,4,False
1.2,1.0,0,1.0,0.53,1,True,FULL,4.3903,0.185,0.6632,0.3987,5,False
1.2,1.0,0,1.0,0.53,2,False,SUPPRESSED,,,,,0,False
1.2,1.0,0,1.0,0.53,3,True,FULL,3.826,0.2136,0.6693,0.3973,4,False
1.2,1.0,0,1.0,0.53,4,False,SUPPRESSED,,,,,0,False
1.2,1.0,0,1.0,0.53,5,False,SUPPRESSED,,,,,0,False
1.2,1.0,0,1.5,0.739,1,False,SUPPRESSED,,,,,0,False
1.2,1.0,0,1.5,0.739,2,False,SUPPRESSED,,,,,0,False
1.2,1.0,0,1.5,0.739,3,False,SUPPRESSED,,,,,0,False
1.2,1.0,0,1.5,0.739,4,False,SUPPRESSED,,,,,0,False
1.2,1.0,0,1.5,0.739,5,False,SUPPRESSED,,,,,0,False
1.2,1.0,0,2.0,0.9357,1,False,SUPPRESSED,,,,,0,False
1.2,1.0,0,2.0,0.9357,2,False,SUPPRESSED,,,,,0,False
1.2,1.0,0,2.0,0.9357,3,False,SUPPRESSED,,,,,0,False
1.2,1.0,0,2.0,0.9357,4,False,SUPPRESSED,,,,,0,False
1.2,1.0,0,2.0,0.9357,5,False,SUPPRESSED,,,,,0,False
1.2,1.0,0,2.5,1.1235,1,True,FULL,4.1988,0.1511,0.9707,0.4757,7,False
1.2,1.0,0,2.5,1.1235,2,False,SUPPRESSED,,,,,0,False
1.2,1.0,0,2.5,1.1235,3,False,SUPPRESSED,,,,,0,False
1.2,1.0,0,2.5,1.1235,4,False,SUPPRESSED,,,,,0,False
1.2,1.0,0,2.5,1.1235,5,True,FULL,3.7722,0.1511,0.7613,0.4341,7,False
1.2,1.0,0,3.0,1.3047,1,False,SUPPRESSED,,,,,0,False
1.2,1.0,0,3.0,1.3047,2,False,SUPPRESSED,,,,,0,False
1.2,1.0,0,3.0,1.3047,3,False,SUPPRESSED,,,,,0,False
1.2,1.0,0,3.0,1.3047,4,True,FULL,4.2885,0.1308,0.9259,0.3615,9,False
1.2,1.0,0,3.0,1.3047,5,False,SUPPRESSED,,,,,0,False
1.2,1.0,90,1.0,0.53,1,False,SUPPRESSED,,,,,0,False
1.2,1.0,90,1.0,0.53,2,True,PARTIAL,1.0663,0.1061,0.7971,0.1965,3,False
1.2,1.0,90,1.0,0.53,3,False,SUPPRESSED,,,,,0,False
1.2,1.0,90,1.0,0.53,4,False,SUPPRESSED,,,,,0,False
1.2,1.0,90,1.0,0.53,5,False,SUPPRESSED,,,,,0,False
1.2,1.0,90,1.5,0.739,1,False,SUPPRESSED,,,,,0,False
1.2,1.0,90,1.5,0.739,2,False,SUPPRESSED,,,,,0,False
1.2,1.0,90,1.5,0.739,3,False,SUPPRESSED,,,,,0,False
1.2,1.0,90,1.5,0.739,4,True,PARTIAL,1.1356,0.1061,1.1016,0.2564,3,False
1.2,1.0,90,1.5,0.739,5,False,SUPPRESSED,,,,,0,False
1.2,1.0,90,2.0,0.9357,1,True,PARTIAL,0.9521,0.1061,1.1184,0.284,3,False
1.2,1.0,90,2.0,0.9357,2,True,PARTIAL,1.205,0.1061,1.0782,0.2124,3,False
1.2,1.0,90,2.0,0.9357,3,False,SUPPRESSED,,,,,0,False
1.2,1.0,90,2.0,0.9357,4,False,SUPPRESSED,,,,,0,False
1.2,1.0,90,2.0,0.9357,5,False,SUPPRESSED,,,,,0,False
1.2,1.0,90,2.5,1.1235,1,True,PARTIAL,1.2484,0.15,1.1249,0.2301,2,False
1.2,1.0,90,2.5,1.1235,2,True,PARTIAL,1.311,0.1061,1.0569,0.2768,3,False
1.2,1.0,90,2.5,1.1235,3,False,SUPPRESSED,,,,,0,False
