sim_id,f,beta,M,seed,classification,t_frag,contrast,lambda_W
CT_0050,1.300000,1.500000,1.000000,1,LONGITUDINAL,33.753721,101.189974,3.461677
CT_0051,1.300000,1.500000,1.000000,2,RADIAL,31.884731,53.041664,
CT_0052,1.300000,1.500000,2.000000,0,LONGITUDINAL,22.857329,102.296890,3.275921
CT_0053,1.300000,1.500000,2.000000,1,RADIAL,22.991962,78.412826,
CT_0054,1.300000,1.500000,2.000000,2,RADIAL,22.545910,53.041664,
CT_0055,1.300000,2.000000,1.000000,0,RADIAL,32.955495,61.532979,
CT_0056,1.300000,2.000000,1.000000,1,LONGITUDINAL,32.008706,99.490105,3.437847
CT_0057,1.300000,2.000000,1.000000,2,LONGITUDINAL,32.895883,95.760347,3.342753
CT_0058,1.300000,2.000000,2.000000,0,RADIAL,23.303054,61.532979,
CT_0059,1.300000,2.000000,2.000000,1,LONGITUDINAL,22.633573,99.490105,3.265955
CT_0060,1.300000,2.000000,2.000000,2,LONGITUDINAL,23.260902,95.760347,3.175615
CT_0061,1.400000,0.300000,1.000000,0,LONGITUDINAL,27.465550,75.242690,2.524871
CT_0062,1.400000,0.300000,1.000000,1,LONGITUDINAL,26.601966,97.418269,2.748843
CT_0063,1.400000,0.300000,1.000000,2,LONGITUDINAL,26.827654,112.213911,2.670782
CT_0064,1.400000,0.300000,2.000000,0,LONGITUDINAL,19.421076,75.242690,2.398627
CT_0065,1.400000,0.300000,2.000000,1,LONGITUDINAL,18.810430,97.418269,2.611400
CT_0066,1.400000,0.300000,2.000000,2,LONGITUDINAL,18.970016,112.213911,2.537243
CT_0067,1.400000,0.500000,1.000000,0,LONGITUDINAL,26.530216,112.027769,2.892667
CT_0068,1.400000,0.500000,1.000000,1,LONGITUDINAL,26.957848,89.696428,3.102602
CT_0069,1.400000,0.500000,1.000000,2,LONGITUDINAL,26.085142,111.144658,2.850802
CT_0070,1.400000,0.500000,2.000000,0,LONGITUDINAL,18.759695,112.027769,2.748034
CT_0071,1.400000,0.500000,2.000000,1,LONGITUDINAL,19.062077,89.696428,2.947472
CT_0072,1.400000,0.500000,2.000000,2,LONGITUDINAL,18.444981,111.144658,2.708262
CT_0073,1.400000,1.000000,1.000000,0,RADIAL,26.923060,66.266286,
CT_0074,1.400000,1.000000,1.000000,1,LONGITUDINAL,26.149579,99.490105,3.222165
CT_0075,1.400000,1.000000,1.000000,2,LONGITUDINAL,26.874361,95.760347,3.133036
CT_0076,1.400000,1.000000,2.000000,0,RADIAL,19.037478,66.266286,
CT_0077,1.400000,1.000000,2.000000,1,LONGITUDINAL,18.490545,99.490105,3.061056
CT_0078,1.400000,1.000000,2.000000,2,LONGITUDINAL,19.003043,95.760347,2.976384
CT_0079,1.400000,1.500000,1.000000,0,RADIAL,25.811566,72.718067,
CT_0080,1.400000,1.500000,1.000000,1,RADIAL,26.123699,43.321819,
CT_0081,1.400000,1.500000,1.000000,2,LONGITUDINAL,25.405394,106.909269,3.681107
CT_0082,1.400000,1.500000,2.000000,0,RADIAL,18.251534,72.718067,
CT_0083,1.400000,1.500000,2.000000,1,RADIAL,18.472245,43.321819,
CT_0084,1.400000,1.500000,2.000000,2,LONGITUDINAL,17.964326,106.909269,3.497051
CT_0085,1.400000,2.000000,1.000000,0,RADIAL,25.657730,53.988394,
CT_0086,1.400000,2.000000,1.000000,1,RADIAL,25.990624,70.333067,
CT_0087,1.400000,2.000000,1.000000,2,RADIAL,26.004017,65.255281,
CT_0088,1.400000,2.000000,2.000000,0,RADIAL,18.142755,53.988394,
CT_0089,1.400000,2.000000,2.000000,1,RADIAL,18.378147,70.333067,
CT_0090,1.400000,2.000000,2.000000,2,RADIAL,18.387617,65.255281,
CT_0091,1.500000,0.300000,1.000000,0,LONGITUDINAL,21.631533,93.147857,2.568360
CT_0092,1.500000,0.300000,1.000000,1,LONGITUDINAL,22.946037,97.922441,2.530505
CT_0093,1.500000,0.300000,1.000000,2,LONGITUDINAL,23.307986,81.286363,2.638696
CT_0094,1.500000,0.300000,2.000000,0,LONGITUDINAL,15.295804,93.147857,2.439942
CT_0095,1.500000,0.300000,2.000000,1,LONGITUDINAL,16.225298,97.922441,2.403980
CT_0096,1.500000,0.300000,2.000000,2,LONGITUDINAL,16.481235,81.286363,2.506761
CT_0097,1.500000,0.500000,1.000000,0,LONGITUDINAL,22.572843,104.161897,3.003731
CT_0098,1.500000,0.500000,1.000000,1,LONGITUDINAL,22.693017,77.810855,2.921146
CT_0099,1.500000,0.500000,1.000000,2,LONGITUDINAL,21.550013,82.142488,2.910309
CT_0100,1.500000,0.500000,2.000000,0,LONGITUDINAL,15.977118,94.256949,2.690007
CT_0101,1.500000,0.500000,2.000000,1,RADIAL,15.639349,46.416235,
CT_0102,1.500000,0.500000,2.000000,2,LONGITUDINAL,15.209325,106.909269,3.039452
CT_0103,1.500000,1.000000,1.000000,0,RADIAL,21.722871,57.844708,
CT_0104,1.500000,1.000000,1.000000,1,RADIAL,22.004713,75.356858,
CT_0105,1.500000,1.000000,1.000000,2,RADIAL,22.016052,69.916373,
CT_0106,1.500000,1.000000,2.000000,0,RADIAL,15.360390,57.844708,
CT_0107,1.500000,1.000000,2.000000,1,RADIAL,15.559682,75.356858,
CT_0108,1.500000,1.000000,2.000000,2,RADIAL,15.567700,69.916373,
CT_0109,1.500000,1.500000,1.000000,0,RADIAL,22.939070,77.450234,
CT_0110,1.500000,1.500000,1.000000,1,RADIAL,21.976096,61.041036,
CT_0111,1.500000,1.500000,1.000000,2,RADIAL,22.050315,57.469138,
CT_0112,1.500000,1.500000,2.000000,0,RADIAL,16.220372,77.450234,
CT_0113,1.500000,1.500000,2.000000,1,RADIAL,15.539447,61.041036,
CT_0114,1.500000,1.500000,2.000000,2,RADIAL,15.591927,57.469138,
CT_0115,1.500000,2.000000,1.000000,0,LONGITUDINAL,21.822460,125.581737,3.249050
CT_0116,1.500000,2.000000,1.000000,1,RADIAL,22.107354,70.048139,
CT_0117,1.500000,2.000000,1.000000,2,RADIAL,22.587356,88.465059,
CT_0118,1.500000,2.000000,2.000000,0,LONGITUDINAL,15.430809,125.581737,3.086598
CT_0119,1.500000,2.000000,2.000000,1,RADIAL,15.632260,70.048139,
CT_0120,1.500000,2.000000,2.000000,2,RADIAL,15.971672,88.465059,
CT_0121,1.600000,0.300000,1.000000,0,LONGITUDINAL,20.566669,82.108130,2.482580
CT_0122,1.600000,0.300000,1.000000,1,LONGITUDINAL,19.557999,84.336086,2.578749
CT_0123,1.600000,0.300000,1.000000,2,LONGITUDINAL,19.727815,111.587860,2.308973
CT_0124,1.600000,0.300000,2.000000,0,LONGITUDINAL,14.542831,82.108130,2.358451
CT_0125,1.600000,0.300000,2.000000,1,LONGITUDINAL,13.829594,84.336086,2.449812
CT_0126,1.600000,0.300000,2.000000,2,LONGITUDINAL,13.949672,111.587860,2.193524
CT_0127,1.600000,0.500000,1.000000,0,RADIAL,19.881729,82.613583,
CT_0128,1.600000,0.500000,1.000000,1,LONGITUDINAL,18.709295,95.954639,2.798311
CT_0129,1.600000,0.500000,1.000000,2,LONGITUDINAL,18.524198,90.287727,2.810998
CT_0130,1.600000,0.500000,2.000000,0,RADIAL,14.058506,82.613583,
CT_0131,1.600000,0.500000,2.000000,1,RADIAL,13.468334,65.110439,
CT_0132,1.600000,0.500000,2.000000,2,LONGITUDINAL,13.098586,90.287727,2.670448
CT_0133,1.600000,1.000000,1.000000,0,LONGITUDINAL,18.913942,125.581737,3.053967
CT_0134,1.600000,1.000000,1.000000,1,RADIAL,19.160865,74.718015,
CT_0135,1.600000,1.000000,1.000000,2,RADIAL,19.576892,94.362730,
CT_0136,1.600000,1.000000,2.000000,0,LONGITUDINAL,13.374176,125.581737,2.901269
CT_0137,1.600000,1.000000,2.000000,1,RADIAL,13.548778,74.718015,
CT_0138,1.600000,1.000000,2.000000,2,RADIAL,13.842953,94.362730,
CT_0139,1.600000,1.500000,1.000000,0,RADIAL,19.656521,59.967477,
CT_0140,1.600000,1.500000,1.000000,1,RADIAL,19.513481,75.140711,
CT_0141,1.600000,1.500000,1.000000,2,RADIAL,18.914610,59.309118,
CT_0142,1.600000,1.500000,2.000000,0,RADIAL,13.479161,89.839185,
CT_0143,1.600000,1.500000,2.000000,1,RADIAL,13.500236,78.835641,
CT_0144,1.600000,1.500000,2.000000,2,RADIAL,13.554831,90.826452,
CT_0145,1.600000,2.000000,1.000000,0,RADIAL,19.598279,72.858862,
CT_0146,1.600000,2.000000,1.000000,1,LONGITUDINAL,19.581623,105.022252,3.297457
CT_0147,1.600000,2.000000,1.000000,2,RADIAL,19.242828,72.559453,
CT_0148,1.600000,2.000000,2.000000,0,RADIAL,13.377055,81.641677,
CT_0149,1.600000,2.000000,2.000000,1,RADIAL,13.247069,94.856933,
CT_0150,1.600000,2.000000,2.000000,2,RADIAL,13.340578,81.259546,
CT_0151,1.700000,0.300000,1.000000,0,LONGITUDINAL,16.854979,125.652392,2.491035
CT_0152,1.700000,0.300000,1.000000,1,LONGITUDINAL,17.055956,95.534575,2.442141
CT_0153,1.700000,0.300000,1.000000,2,LONGITUDINAL,17.153030,89.195843,2.367764
CT_0154,1.700000,0.300000,2.000000,0,LONGITUDINAL,12.783405,118.077739,2.359345
CT_0155,1.700000,0.300000,2.000000,1,LONGITUDINAL,12.014582,101.877019,2.356108
CT_0156,1.700000,0.300000,2.000000,2,RADIAL,12.149489,65.811548,
CT_0157,1.700000,0.500000,1.000000,0,RADIAL,17.325014,63.715444,
CT_0158,1.700000,0.500000,1.000000,1,LONGITUDINAL,16.919629,97.255865,2.838198
CT_0159,1.700000,0.500000,1.000000,2,RADIAL,16.671102,63.015938,
CT_0160,1.700000,0.500000,2.000000,0,RADIAL,12.250635,63.715444,
CT_0161,1.700000,0.500000,2.000000,1,RADIAL,12.161487,79.837006,
CT_0162,1.700000,0.500000,2.000000,2,RADIAL,11.788249,63.015938,
CT_0163,1.700000,1.000000,1.000000,0,RADIAL,17.273679,77.412541,
CT_0164,1.700000,1.000000,1.000000,1,LONGITUDINAL,17.258999,105.022252,3.103109
CT_0165,1.700000,1.000000,1.000000,2,RADIAL,16.960390,77.094419,
CT_0166,1.700000,1.000000,2.000000,0,RADIAL,11.790370,86.744282,
CT_0167,1.700000,1.000000,2.000000,1,RADIAL,11.675802,100.785492,
CT_0168,1.700000,1.000000,2.000000,2,RADIAL,11.758220,86.338268,
CT_0169,1.700000,1.500000,1.000000,0,RADIAL,17.150675,71.003456,
CT_0170,1.700000,1.500000,1.000000,1,RADIAL,17.454025,68.809042,
CT_0171,1.700000,1.500000,1.000000,2,RADIAL,17.275106,85.397488,
CT_0172,1.700000,1.500000,2.000000,0,RADIAL,12.127359,71.003456,
CT_0173,1.700000,1.500000,2.000000,1,RADIAL,12.341859,68.809042,
CT_0174,1.700000,1.500000,2.000000,2,RADIAL,12.215345,85.397488,
CT_0175,1.700000,2.000000,1.000000,0,RADIAL,17.492362,102.439344,
CT_0176,1.700000,2.000000,1.000000,1,RADIAL,17.410434,87.130068,
CT_0177,1.700000,2.000000,1.000000,2,RADIAL,17.539864,81.449513,
CT_0178,1.700000,2.000000,2.000000,0,RADIAL,12.368968,102.439344,
CT_0179,1.700000,2.000000,2.000000,1,RADIAL,12.311036,87.130068,
CT_0180,1.700000,2.000000,2.000000,2,RADIAL,12.402557,81.449513,
