beta,M,f,seed,lambda_W,t_frag
1.0000,2.0000,1.3000,1,3.1154,22.8515
1.0000,2.0000,1.3000,2,2.9452,24.3436
1.0000,2.0000,1.4000,1,3.0611,18.4905
1.0000,2.0000,1.4000,2,2.9764,19.0030
1.0000,2.0000,1.6000,0,2.9013,13.3742
1.5000,1.0000,1.2000,0,3.3527,43.7522
1.5000,1.0000,1.2000,1,3.7032,43.1058
1.5000,1.0000,1.2000,2,3.6062,43.0908
1.5000,1.0000,1.3000,0,3.4483,32.3251
1.5000,1.0000,1.3000,1,3.4617,33.7537
1.5000,1.0000,1.4000,2,3.6811,25.4054
1.5000,2.0000,1.2000,0,3.2152,29.3488
1.5000,2.0000,1.2000,1,3.2585,30.4864
1.5000,2.0000,1.3000,0,3.2759,22.8573
1.5000,2.0000,1.4000,2,3.4971,17.9643
2.0000,1.0000,1.2000,0,3.5142,42.6262
2.0000,1.0000,1.2000,1,3.3443,40.1249
2.0000,1.0000,1.2000,2,3.5996,41.0412
2.0000,1.0000,1.3000,1,3.4378,32.0087
2.0000,1.0000,1.3000,2,3.3428,32.8959
2.0000,1.0000,1.5000,0,3.2491,21.8225
2.0000,1.0000,1.6000,1,3.2975,19.5816
2.0000,2.0000,1.2000,0,3.3172,29.6301
2.0000,2.0000,1.2000,1,3.3299,29.7847
2.0000,2.0000,1.2000,2,3.1480,31.7296
2.0000,2.0000,1.3000,1,3.2660,22.6336
2.0000,2.0000,1.3000,2,3.1756,23.2609
2.0000,2.0000,1.5000,0,3.0866,15.4308
